Device : cuda
SNR    : 5.0 dB
Beta   : 0.01
Bottleneck dim: 8
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 0.1779 | Task: 0.1528 | KL: 2.5130 | Val Acc: 0.9890
Epoch 002 | Loss: 0.0723 | Task: 0.0718 | KL: 0.0555 | Val Acc: 0.9890
Epoch 003 | Loss: 0.0713 | Task: 0.0712 | KL: 0.0092 | Val Acc: 0.9890
Epoch 004 | Loss: 0.0690 | Task: 0.0676 | KL: 0.1362 | Val Acc: 0.9890
Epoch 005 | Loss: 0.0539 | Task: 0.0474 | KL: 0.6461 | Val Acc: 0.9890
Epoch 006 | Loss: 0.0339 | Task: 0.0288 | KL: 0.5088 | Val Acc: 0.9900
Epoch 007 | Loss: 0.0241 | Task: 0.0208 | KL: 0.3215 | Val Acc: 0.9920
Epoch 008 | Loss: 0.0220 | Task: 0.0195 | KL: 0.2497 | Val Acc: 0.9960
Epoch 009 | Loss: 0.0171 | Task: 0.0149 | KL: 0.2157 | Val Acc: 0.9950
Epoch 010 | Loss: 0.0135 | Task: 0.0117 | KL: 0.1846 | Val Acc: 0.9950
Epoch 011 | Loss: 0.0174 | Task: 0.0154 | KL: 0.2061 | Val Acc: 0.9940
Epoch 012 | Loss: 0.0124 | Task: 0.0108 | KL: 0.1642 | Val Acc: 0.9950
Epoch 013 | Loss: 0.0095 | Task: 0.0077 | KL: 0.1738 | Val Acc: 0.9940
Epoch 014 | Loss: 0.0102 | Task: 0.0086 | KL: 0.1613 | Val Acc: 0.9940
Epoch 015 | Loss: 0.0097 | Task: 0.0079 | KL: 0.1849 | Val Acc: 0.9930
Epoch 016 | Loss: 0.0091 | Task: 0.0075 | KL: 0.1668 | Val Acc: 0.9950
Epoch 017 | Loss: 0.0058 | Task: 0.0043 | KL: 0.1491 | Val Acc: 0.9940
Epoch 018 | Loss: 0.0052 | Task: 0.0039 | KL: 0.1370 | Val Acc: 0.9940
Epoch 019 | Loss: 0.0047 | Task: 0.0035 | KL: 0.1208 | Val Acc: 0.9960
Epoch 020 | Loss: 0.0104 | Task: 0.0088 | KL: 0.1566 | Val Acc: 0.9900
Epoch 021 | Loss: 0.0112 | Task: 0.0096 | KL: 0.1559 | Val Acc: 0.9960
Epoch 022 | Loss: 0.0031 | Task: 0.0018 | KL: 0.1324 | Val Acc: 0.9950
Epoch 023 | Loss: 0.0038 | Task: 0.0027 | KL: 0.1131 | Val Acc: 0.9950
Epoch 024 | Loss: 0.0146 | Task: 0.0121 | KL: 0.2464 | Val Acc: 0.9950
Epoch 025 | Loss: 0.0029 | Task: 0.0013 | KL: 0.1561 | Val Acc: 0.9960
Epoch 026 | Loss: 0.0013 | Task: 0.0004 | KL: 0.0983 | Val Acc: 0.9960
Epoch 027 | Loss: 0.0013 | Task: 0.0003 | KL: 0.0947 | Val Acc: 0.9960
Epoch 028 | Loss: 0.0018 | Task: 0.0005 | KL: 0.1299 | Val Acc: 0.9980
Epoch 029 | Loss: 0.0013 | Task: 0.0004 | KL: 0.0987 | Val Acc: 0.9970
Epoch 030 | Loss: 0.0018 | Task: 0.0009 | KL: 0.0913 | Val Acc: 0.9980
Epoch 031 | Loss: 0.0017 | Task: 0.0007 | KL: 0.0946 | Val Acc: 0.9970
Epoch 032 | Loss: 0.0015 | Task: 0.0006 | KL: 0.0942 | Val Acc: 0.9950
Epoch 033 | Loss: 0.0060 | Task: 0.0048 | KL: 0.1268 | Val Acc: 0.9990
Epoch 034 | Loss: 0.0016 | Task: 0.0004 | KL: 0.1178 | Val Acc: 0.9990
Epoch 035 | Loss: 0.0011 | Task: 0.0003 | KL: 0.0838 | Val Acc: 0.9970
Epoch 036 | Loss: 0.0010 | Task: 0.0002 | KL: 0.0800 | Val Acc: 0.9980
Epoch 037 | Loss: 0.0010 | Task: 0.0002 | KL: 0.0842 | Val Acc: 0.9980
Epoch 038 | Loss: 0.0053 | Task: 0.0036 | KL: 0.1754 | Val Acc: 0.9960
Epoch 039 | Loss: 0.0038 | Task: 0.0017 | KL: 0.2166 | Val Acc: 0.9930
Epoch 040 | Loss: 0.0053 | Task: 0.0036 | KL: 0.1714 | Val Acc: 0.9930
Epoch 041 | Loss: 0.0061 | Task: 0.0044 | KL: 0.1762 | Val Acc: 0.9990
Epoch 042 | Loss: 0.0016 | Task: 0.0003 | KL: 0.1331 | Val Acc: 0.9920
Epoch 043 | Loss: 0.0019 | Task: 0.0008 | KL: 0.1141 | Val Acc: 0.9960
Epoch 044 | Loss: 0.0016 | Task: 0.0004 | KL: 0.1183 | Val Acc: 0.9930
Epoch 045 | Loss: 0.0023 | Task: 0.0012 | KL: 0.1114 | Val Acc: 0.9930
Epoch 046 | Loss: 0.0082 | Task: 0.0062 | KL: 0.2075 | Val Acc: 0.9960
Epoch 047 | Loss: 0.0023 | Task: 0.0010 | KL: 0.1362 | Val Acc: 0.9960
Epoch 048 | Loss: 0.0019 | Task: 0.0007 | KL: 0.1210 | Val Acc: 0.9960
Epoch 049 | Loss: 0.0022 | Task: 0.0009 | KL: 0.1238 | Val Acc: 0.9960
Epoch 050 | Loss: 0.0056 | Task: 0.0045 | KL: 0.1107 | Val Acc: 0.9970

Best Val Acc: 0.9990
