Device : cuda
SNR    : -5.0 dB
Beta   : 1.0
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 0.2139 | Task: 0.2132 | KL: 0.0008 | Val Acc: 0.9890
Epoch 002 | Loss: 0.0816 | Task: 0.0816 | KL: 0.0001 | Val Acc: 0.9890
Epoch 003 | Loss: 0.0729 | Task: 0.0729 | KL: 0.0000 | Val Acc: 0.9890
Epoch 004 | Loss: 0.0675 | Task: 0.0675 | KL: 0.0000 | Val Acc: 0.9890
Epoch 005 | Loss: 0.0672 | Task: 0.0671 | KL: 0.0000 | Val Acc: 0.9890
Epoch 006 | Loss: 0.0667 | Task: 0.0667 | KL: 0.0000 | Val Acc: 0.9890
Epoch 007 | Loss: 0.0669 | Task: 0.0669 | KL: 0.0000 | Val Acc: 0.9890
Epoch 008 | Loss: 0.0668 | Task: 0.0668 | KL: 0.0000 | Val Acc: 0.9890
Epoch 009 | Loss: 0.0668 | Task: 0.0668 | KL: 0.0000 | Val Acc: 0.9890
Epoch 010 | Loss: 0.0664 | Task: 0.0664 | KL: 0.0000 | Val Acc: 0.9890
Epoch 011 | Loss: 0.0673 | Task: 0.0673 | KL: 0.0000 | Val Acc: 0.9890
Epoch 012 | Loss: 0.0667 | Task: 0.0667 | KL: 0.0000 | Val Acc: 0.9890
Epoch 013 | Loss: 0.0676 | Task: 0.0676 | KL: 0.0000 | Val Acc: 0.9890
Epoch 014 | Loss: 0.0672 | Task: 0.0672 | KL: 0.0000 | Val Acc: 0.9890
Epoch 015 | Loss: 0.0666 | Task: 0.0666 | KL: 0.0000 | Val Acc: 0.9890
Epoch 016 | Loss: 0.0662 | Task: 0.0662 | KL: 0.0000 | Val Acc: 0.9890
Epoch 017 | Loss: 0.0668 | Task: 0.0668 | KL: 0.0000 | Val Acc: 0.9890
Epoch 018 | Loss: 0.0667 | Task: 0.0667 | KL: 0.0000 | Val Acc: 0.9890
Epoch 019 | Loss: 0.0664 | Task: 0.0664 | KL: 0.0000 | Val Acc: 0.9890
Epoch 020 | Loss: 0.0662 | Task: 0.0662 | KL: 0.0000 | Val Acc: 0.9890
Epoch 021 | Loss: 0.0673 | Task: 0.0673 | KL: 0.0000 | Val Acc: 0.9890
Epoch 022 | Loss: 0.0677 | Task: 0.0677 | KL: 0.0000 | Val Acc: 0.9890
Epoch 023 | Loss: 0.0670 | Task: 0.0670 | KL: 0.0000 | Val Acc: 0.9890
Epoch 024 | Loss: 0.0671 | Task: 0.0671 | KL: 0.0000 | Val Acc: 0.9890
Epoch 025 | Loss: 0.0667 | Task: 0.0667 | KL: 0.0000 | Val Acc: 0.9890
Epoch 026 | Loss: 0.0670 | Task: 0.0670 | KL: 0.0000 | Val Acc: 0.9890
Epoch 027 | Loss: 0.0668 | Task: 0.0668 | KL: 0.0000 | Val Acc: 0.9890
Epoch 028 | Loss: 0.0666 | Task: 0.0666 | KL: 0.0000 | Val Acc: 0.9890
Epoch 029 | Loss: 0.0666 | Task: 0.0666 | KL: 0.0000 | Val Acc: 0.9890
Epoch 030 | Loss: 0.0677 | Task: 0.0677 | KL: 0.0000 | Val Acc: 0.9890
Epoch 031 | Loss: 0.0660 | Task: 0.0660 | KL: 0.0000 | Val Acc: 0.9890
Epoch 032 | Loss: 0.0663 | Task: 0.0663 | KL: 0.0000 | Val Acc: 0.9890
Epoch 033 | Loss: 0.0668 | Task: 0.0668 | KL: 0.0000 | Val Acc: 0.9890
Epoch 034 | Loss: 0.0662 | Task: 0.0662 | KL: 0.0000 | Val Acc: 0.9890
Epoch 035 | Loss: 0.0660 | Task: 0.0660 | KL: 0.0000 | Val Acc: 0.9890
Epoch 036 | Loss: 0.0665 | Task: 0.0665 | KL: 0.0000 | Val Acc: 0.9890
Epoch 037 | Loss: 0.0666 | Task: 0.0666 | KL: 0.0000 | Val Acc: 0.9890
Epoch 038 | Loss: 0.0666 | Task: 0.0666 | KL: 0.0000 | Val Acc: 0.9890
Epoch 039 | Loss: 0.0668 | Task: 0.0668 | KL: 0.0000 | Val Acc: 0.9890
Epoch 040 | Loss: 0.0665 | Task: 0.0665 | KL: 0.0000 | Val Acc: 0.9890
Epoch 041 | Loss: 0.0672 | Task: 0.0672 | KL: 0.0000 | Val Acc: 0.9890
Epoch 042 | Loss: 0.0665 | Task: 0.0665 | KL: 0.0000 | Val Acc: 0.9890
Epoch 043 | Loss: 0.0671 | Task: 0.0671 | KL: 0.0000 | Val Acc: 0.9890
Epoch 044 | Loss: 0.0670 | Task: 0.0670 | KL: 0.0000 | Val Acc: 0.9890
Epoch 045 | Loss: 0.0671 | Task: 0.0671 | KL: 0.0000 | Val Acc: 0.9890
Epoch 046 | Loss: 0.0667 | Task: 0.0667 | KL: 0.0000 | Val Acc: 0.9890
Epoch 047 | Loss: 0.0664 | Task: 0.0664 | KL: 0.0000 | Val Acc: 0.9890
Epoch 048 | Loss: 0.0663 | Task: 0.0663 | KL: 0.0000 | Val Acc: 0.9890
Epoch 049 | Loss: 0.0662 | Task: 0.0662 | KL: 0.0000 | Val Acc: 0.9890
Epoch 050 | Loss: 0.0667 | Task: 0.0667 | KL: 0.0000 | Val Acc: 0.9890

Best Val Acc: 0.9890
