Device : cuda
SNR    : 5.0 dB
Beta   : 0.1
Bottleneck dim: 4
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 0.5603 | Task: 0.3609 | KL: 1.9945 | Val Acc: 0.9640
Epoch 002 | Loss: 0.3076 | Task: 0.0810 | KL: 2.2663 | Val Acc: 0.9820
Epoch 003 | Loss: 0.2971 | Task: 0.0785 | KL: 2.1857 | Val Acc: 0.9710
Epoch 004 | Loss: 0.2739 | Task: 0.0629 | KL: 2.1093 | Val Acc: 0.9690
Epoch 005 | Loss: 0.2674 | Task: 0.0664 | KL: 2.0096 | Val Acc: 0.9710
Epoch 006 | Loss: 0.2678 | Task: 0.0618 | KL: 2.0606 | Val Acc: 0.9890
Epoch 007 | Loss: 0.2745 | Task: 0.0624 | KL: 2.1211 | Val Acc: 0.9820
Epoch 008 | Loss: 0.2663 | Task: 0.0621 | KL: 2.0426 | Val Acc: 0.9720
Epoch 009 | Loss: 0.2765 | Task: 0.0640 | KL: 2.1247 | Val Acc: 0.9620
Epoch 010 | Loss: 0.2703 | Task: 0.0619 | KL: 2.0844 | Val Acc: 0.9660
Epoch 011 | Loss: 0.2526 | Task: 0.0584 | KL: 1.9417 | Val Acc: 0.9790
Epoch 012 | Loss: 0.2494 | Task: 0.0525 | KL: 1.9687 | Val Acc: 0.9740
Epoch 013 | Loss: 0.2449 | Task: 0.0548 | KL: 1.9018 | Val Acc: 0.9800
Epoch 014 | Loss: 0.2643 | Task: 0.0569 | KL: 2.0737 | Val Acc: 0.9840
Epoch 015 | Loss: 0.2540 | Task: 0.0588 | KL: 1.9514 | Val Acc: 0.9770
Epoch 016 | Loss: 0.2429 | Task: 0.0504 | KL: 1.9255 | Val Acc: 0.9790
Epoch 017 | Loss: 0.2563 | Task: 0.0557 | KL: 2.0064 | Val Acc: 0.9800
Epoch 018 | Loss: 0.2647 | Task: 0.0574 | KL: 2.0729 | Val Acc: 0.9790
Epoch 019 | Loss: 0.2590 | Task: 0.0563 | KL: 2.0273 | Val Acc: 0.9880
Epoch 020 | Loss: 0.2534 | Task: 0.0572 | KL: 1.9628 | Val Acc: 0.9780
Epoch 021 | Loss: 0.2560 | Task: 0.0576 | KL: 1.9835 | Val Acc: 0.9780
Epoch 022 | Loss: 0.2432 | Task: 0.0527 | KL: 1.9054 | Val Acc: 0.9750
Epoch 023 | Loss: 0.2518 | Task: 0.0587 | KL: 1.9308 | Val Acc: 0.9770
Epoch 024 | Loss: 0.2681 | Task: 0.0585 | KL: 2.0966 | Val Acc: 0.9760
Epoch 025 | Loss: 0.2433 | Task: 0.0529 | KL: 1.9040 | Val Acc: 0.9690
Epoch 026 | Loss: 0.2512 | Task: 0.0539 | KL: 1.9726 | Val Acc: 0.9870
Epoch 027 | Loss: 0.2515 | Task: 0.0537 | KL: 1.9779 | Val Acc: 0.9650
Epoch 028 | Loss: 0.2448 | Task: 0.0526 | KL: 1.9223 | Val Acc: 0.9790
Epoch 029 | Loss: 0.2612 | Task: 0.0574 | KL: 2.0382 | Val Acc: 0.9850
Epoch 030 | Loss: 0.2471 | Task: 0.0529 | KL: 1.9416 | Val Acc: 0.9880
Epoch 031 | Loss: 0.2430 | Task: 0.0522 | KL: 1.9085 | Val Acc: 0.9720
Epoch 032 | Loss: 0.2560 | Task: 0.0601 | KL: 1.9592 | Val Acc: 0.9850
Epoch 033 | Loss: 0.2440 | Task: 0.0516 | KL: 1.9237 | Val Acc: 0.9850
Epoch 034 | Loss: 0.2542 | Task: 0.0565 | KL: 1.9768 | Val Acc: 0.9870
Epoch 035 | Loss: 0.2394 | Task: 0.0522 | KL: 1.8715 | Val Acc: 0.9800
Epoch 036 | Loss: 0.2477 | Task: 0.0547 | KL: 1.9290 | Val Acc: 0.9830
Epoch 037 | Loss: 0.2595 | Task: 0.0603 | KL: 1.9924 | Val Acc: 0.9800
Epoch 038 | Loss: 0.2511 | Task: 0.0529 | KL: 1.9827 | Val Acc: 0.9860
Epoch 039 | Loss: 0.2475 | Task: 0.0529 | KL: 1.9463 | Val Acc: 0.9750
Epoch 040 | Loss: 0.2597 | Task: 0.0571 | KL: 2.0265 | Val Acc: 0.9840
Epoch 041 | Loss: 0.2560 | Task: 0.0555 | KL: 2.0047 | Val Acc: 0.9860
Epoch 042 | Loss: 0.2435 | Task: 0.0510 | KL: 1.9247 | Val Acc: 0.9850
Epoch 043 | Loss: 0.2485 | Task: 0.0547 | KL: 1.9380 | Val Acc: 0.9770
Epoch 044 | Loss: 0.2392 | Task: 0.0494 | KL: 1.8985 | Val Acc: 0.9780
Epoch 045 | Loss: 0.2464 | Task: 0.0513 | KL: 1.9511 | Val Acc: 0.9790
Epoch 046 | Loss: 0.2491 | Task: 0.0527 | KL: 1.9641 | Val Acc: 0.9780
Epoch 047 | Loss: 0.2545 | Task: 0.0577 | KL: 1.9686 | Val Acc: 0.9830
Epoch 048 | Loss: 0.2530 | Task: 0.0555 | KL: 1.9751 | Val Acc: 0.9820
Epoch 049 | Loss: 0.2483 | Task: 0.0541 | KL: 1.9421 | Val Acc: 0.9800
Epoch 050 | Loss: 0.2548 | Task: 0.0524 | KL: 2.0239 | Val Acc: 0.9820

Best Val Acc: 0.9890
