Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2347 | Task: 0.9975 | KL: 0.4744 | Val Acc: 0.7830
Epoch 002 | Loss: 1.0385 | Task: 0.4887 | KL: 1.0996 | Val Acc: 0.7900
Epoch 003 | Loss: 1.0458 | Task: 0.4900 | KL: 1.1116 | Val Acc: 0.8080
Epoch 004 | Loss: 1.0200 | Task: 0.4624 | KL: 1.1151 | Val Acc: 0.8310
Epoch 005 | Loss: 1.0367 | Task: 0.4781 | KL: 1.1172 | Val Acc: 0.7820
Epoch 006 | Loss: 1.0273 | Task: 0.4656 | KL: 1.1234 | Val Acc: 0.8420
Epoch 007 | Loss: 1.0263 | Task: 0.4597 | KL: 1.1332 | Val Acc: 0.7870
Epoch 008 | Loss: 1.0225 | Task: 0.4628 | KL: 1.1194 | Val Acc: 0.8280
Epoch 009 | Loss: 1.0189 | Task: 0.4579 | KL: 1.1219 | Val Acc: 0.8050
Epoch 010 | Loss: 1.0273 | Task: 0.4627 | KL: 1.1291 | Val Acc: 0.8560
Epoch 011 | Loss: 1.0265 | Task: 0.4583 | KL: 1.1364 | Val Acc: 0.8210
Epoch 012 | Loss: 1.0248 | Task: 0.4564 | KL: 1.1367 | Val Acc: 0.8250
Epoch 013 | Loss: 1.0004 | Task: 0.4452 | KL: 1.1104 | Val Acc: 0.8320
Epoch 014 | Loss: 1.0283 | Task: 0.4596 | KL: 1.1374 | Val Acc: 0.8530
Epoch 015 | Loss: 0.9966 | Task: 0.4364 | KL: 1.1202 | Val Acc: 0.8280
Epoch 016 | Loss: 1.0213 | Task: 0.4542 | KL: 1.1341 | Val Acc: 0.8120
Epoch 017 | Loss: 1.0241 | Task: 0.4624 | KL: 1.1234 | Val Acc: 0.8090
Epoch 018 | Loss: 1.0175 | Task: 0.4529 | KL: 1.1292 | Val Acc: 0.8200
