Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2630 | Task: 1.0855 | KL: 0.3550 | Val Acc: 0.6930
Epoch 002 | Loss: 1.0644 | Task: 0.5947 | KL: 0.9393 | Val Acc: 0.8070
Epoch 003 | Loss: 1.0682 | Task: 0.5560 | KL: 1.0244 | Val Acc: 0.7400
Epoch 004 | Loss: 1.0479 | Task: 0.5256 | KL: 1.0446 | Val Acc: 0.7780
Epoch 005 | Loss: 1.0435 | Task: 0.4876 | KL: 1.1118 | Val Acc: 0.8620
Epoch 006 | Loss: 1.0272 | Task: 0.4600 | KL: 1.1345 | Val Acc: 0.8300
Epoch 007 | Loss: 1.0205 | Task: 0.4514 | KL: 1.1382 | Val Acc: 0.8290
Epoch 008 | Loss: 1.0288 | Task: 0.4564 | KL: 1.1449 | Val Acc: 0.7920
Epoch 009 | Loss: 1.0210 | Task: 0.4525 | KL: 1.1370 | Val Acc: 0.7980
Epoch 010 | Loss: 0.9950 | Task: 0.4414 | KL: 1.1070 | Val Acc: 0.8210
Epoch 011 | Loss: 1.0376 | Task: 0.4629 | KL: 1.1493 | Val Acc: 0.7990
Epoch 012 | Loss: 1.0146 | Task: 0.4503 | KL: 1.1287 | Val Acc: 0.8000
Epoch 013 | Loss: 1.0280 | Task: 0.4627 | KL: 1.1306 | Val Acc: 0.8500
Epoch 014 | Loss: 1.0186 | Task: 0.4619 | KL: 1.1133 | Val Acc: 0.8000
Epoch 015 | Loss: 1.0351 | Task: 0.4684 | KL: 1.1335 | Val Acc: 0.8100
Epoch 016 | Loss: 1.0244 | Task: 0.4579 | KL: 1.1330 | Val Acc: 0.8260
Epoch 017 | Loss: 1.0226 | Task: 0.4548 | KL: 1.1356 | Val Acc: 0.7990
Epoch 018 | Loss: 1.0176 | Task: 0.4448 | KL: 1.1456 | Val Acc: 0.8320
Epoch 019 | Loss: 1.0039 | Task: 0.4471 | KL: 1.1136 | Val Acc: 0.8260
Epoch 020 | Loss: 1.0212 | Task: 0.4590 | KL: 1.1243 | Val Acc: 0.8160
Epoch 021 | Loss: 1.0175 | Task: 0.4596 | KL: 1.1157 | Val Acc: 0.8240
