Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2555 | Task: 1.0815 | KL: 0.3480 | Val Acc: 0.7450
Epoch 002 | Loss: 1.0470 | Task: 0.4902 | KL: 1.1136 | Val Acc: 0.8440
Epoch 003 | Loss: 1.0336 | Task: 0.4813 | KL: 1.1046 | Val Acc: 0.8200
Epoch 004 | Loss: 1.0371 | Task: 0.4808 | KL: 1.1127 | Val Acc: 0.8050
Epoch 005 | Loss: 1.0224 | Task: 0.4641 | KL: 1.1165 | Val Acc: 0.8310
Epoch 006 | Loss: 1.0086 | Task: 0.4583 | KL: 1.1006 | Val Acc: 0.8250
Epoch 007 | Loss: 1.0218 | Task: 0.4572 | KL: 1.1292 | Val Acc: 0.8440
Epoch 008 | Loss: 1.0311 | Task: 0.4641 | KL: 1.1340 | Val Acc: 0.8460
Epoch 009 | Loss: 1.0249 | Task: 0.4567 | KL: 1.1364 | Val Acc: 0.7900
Epoch 010 | Loss: 1.0237 | Task: 0.4524 | KL: 1.1425 | Val Acc: 0.8240
Epoch 011 | Loss: 1.0125 | Task: 0.4456 | KL: 1.1338 | Val Acc: 0.7880
Epoch 012 | Loss: 1.0211 | Task: 0.4501 | KL: 1.1420 | Val Acc: 0.8320
Epoch 013 | Loss: 1.0079 | Task: 0.4447 | KL: 1.1264 | Val Acc: 0.8150
Epoch 014 | Loss: 1.0150 | Task: 0.4450 | KL: 1.1400 | Val Acc: 0.8310
Epoch 015 | Loss: 1.0262 | Task: 0.4557 | KL: 1.1411 | Val Acc: 0.8400
Epoch 016 | Loss: 1.0297 | Task: 0.4555 | KL: 1.1485 | Val Acc: 0.7790
Epoch 017 | Loss: 1.0020 | Task: 0.4456 | KL: 1.1129 | Val Acc: 0.8300
Epoch 018 | Loss: 1.0143 | Task: 0.4531 | KL: 1.1224 | Val Acc: 0.8320
Epoch 019 | Loss: 1.0231 | Task: 0.4590 | KL: 1.1282 | Val Acc: 0.7990
Epoch 020 | Loss: 1.0074 | Task: 0.4466 | KL: 1.1217 | Val Acc: 0.8400
Epoch 021 | Loss: 1.0227 | Task: 0.4536 | KL: 1.1383 | Val Acc: 0.8310
Epoch 022 | Loss: 1.0215 | Task: 0.4534 | KL: 1.1363 | Val Acc: 0.8180
Epoch 023 | Loss: 1.0212 | Task: 0.4558 | KL: 1.1307 | Val Acc: 0.7990
Epoch 024 | Loss: 1.0149 | Task: 0.4531 | KL: 1.1237 | Val Acc: 0.8180
Epoch 025 | Loss: 1.0128 | Task: 0.4412 | KL: 1.1432 | Val Acc: 0.8550
Epoch 026 | Loss: 1.0051 | Task: 0.4427 | KL: 1.1248 | Val Acc: 0.8030
Epoch 027 | Loss: 1.0409 | Task: 0.4673 | KL: 1.1471 | Val Acc: 0.8280
Epoch 028 | Loss: 1.0127 | Task: 0.4513 | KL: 1.1229 | Val Acc: 0.8230
Epoch 029 | Loss: 1.0229 | Task: 0.4555 | KL: 1.1347 | Val Acc: 0.8010
Epoch 030 | Loss: 1.0204 | Task: 0.4525 | KL: 1.1358 | Val Acc: 0.8450
Epoch 031 | Loss: 1.0449 | Task: 0.4750 | KL: 1.1398 | Val Acc: 0.8350
Epoch 032 | Loss: 1.0054 | Task: 0.4424 | KL: 1.1259 | Val Acc: 0.8320
Epoch 033 | Loss: 1.0120 | Task: 0.4441 | KL: 1.1358 | Val Acc: 0.8420
Epoch 034 | Loss: 1.0100 | Task: 0.4443 | KL: 1.1313 | Val Acc: 0.8480
Epoch 035 | Loss: 1.0259 | Task: 0.4568 | KL: 1.1382 | Val Acc: 0.8070
Epoch 036 | Loss: 1.0541 | Task: 0.4753 | KL: 1.1576 | Val Acc: 0.8370
Epoch 037 | Loss: 1.0174 | Task: 0.4554 | KL: 1.1241 | Val Acc: 0.7980
Epoch 038 | Loss: 1.0054 | Task: 0.4457 | KL: 1.1194 | Val Acc: 0.8400
Epoch 039 | Loss: 1.0019 | Task: 0.4387 | KL: 1.1265 | Val Acc: 0.8200
Epoch 040 | Loss: 1.0092 | Task: 0.4347 | KL: 1.1490 | Val Acc: 0.8470
Epoch 041 | Loss: 1.0242 | Task: 0.4544 | KL: 1.1396 | Val Acc: 0.8220
Epoch 042 | Loss: 1.0130 | Task: 0.4420 | KL: 1.1421 | Val Acc: 0.8490
Epoch 043 | Loss: 1.0162 | Task: 0.4443 | KL: 1.1439 | Val Acc: 0.8230
Epoch 044 | Loss: 1.0236 | Task: 0.4464 | KL: 1.1544 | Val Acc: 0.8280
Epoch 045 | Loss: 1.0038 | Task: 0.4485 | KL: 1.1106 | Val Acc: 0.8060
Epoch 046 | Loss: 1.0127 | Task: 0.4462 | KL: 1.1331 | Val Acc: 0.8130
Epoch 047 | Loss: 1.0044 | Task: 0.4406 | KL: 1.1276 | Val Acc: 0.8140
Epoch 048 | Loss: 1.0141 | Task: 0.4459 | KL: 1.1365 | Val Acc: 0.8270
Epoch 049 | Loss: 1.0211 | Task: 0.4408 | KL: 1.1607 | Val Acc: 0.8190
Epoch 050 | Loss: 1.0291 | Task: 0.4659 | KL: 1.1264 | Val Acc: 0.8370
Epoch 051 | Loss: 1.0120 | Task: 0.4442 | KL: 1.1356 | Val Acc: 0.8350
Epoch 052 | Loss: 1.0168 | Task: 0.4557 | KL: 1.1222 | Val Acc: 0.8460
Epoch 053 | Loss: 1.0083 | Task: 0.4404 | KL: 1.1357 | Val Acc: 0.8270
Epoch 054 | Loss: 1.0102 | Task: 0.4464 | KL: 1.1277 | Val Acc: 0.8030
Epoch 055 | Loss: 0.9990 | Task: 0.4406 | KL: 1.1168 | Val Acc: 0.7930
Epoch 056 | Loss: 1.0145 | Task: 0.4444 | KL: 1.1403 | Val Acc: 0.8150
Epoch 057 | Loss: 1.0116 | Task: 0.4460 | KL: 1.1313 | Val Acc: 0.8090
Epoch 058 | Loss: 1.0308 | Task: 0.4666 | KL: 1.1284 | Val Acc: 0.8240
Epoch 059 | Loss: 1.0006 | Task: 0.4367 | KL: 1.1278 | Val Acc: 0.8310
Epoch 060 | Loss: 1.0216 | Task: 0.4483 | KL: 1.1465 | Val Acc: 0.8020
Epoch 061 | Loss: 1.0082 | Task: 0.4512 | KL: 1.1140 | Val Acc: 0.8350
Epoch 062 | Loss: 1.0127 | Task: 0.4479 | KL: 1.1297 | Val Acc: 0.8380
Epoch 063 | Loss: 1.0252 | Task: 0.4515 | KL: 1.1472 | Val Acc: 0.8250
Epoch 064 | Loss: 1.0220 | Task: 0.4457 | KL: 1.1527 | Val Acc: 0.8530
Epoch 065 | Loss: 1.0058 | Task: 0.4371 | KL: 1.1374 | Val Acc: 0.8090
Epoch 066 | Loss: 1.0249 | Task: 0.4538 | KL: 1.1420 | Val Acc: 0.8080
Epoch 067 | Loss: 1.0239 | Task: 0.4542 | KL: 1.1396 | Val Acc: 0.8120
Epoch 068 | Loss: 1.0140 | Task: 0.4468 | KL: 1.1343 | Val Acc: 0.8460
Epoch 069 | Loss: 1.0195 | Task: 0.4473 | KL: 1.1445 | Val Acc: 0.8300
Epoch 070 | Loss: 1.0151 | Task: 0.4517 | KL: 1.1268 | Val Acc: 0.8270
Epoch 071 | Loss: 1.0263 | Task: 0.4537 | KL: 1.1451 | Val Acc: 0.8170
Epoch 072 | Loss: 1.0125 | Task: 0.4429 | KL: 1.1391 | Val Acc: 0.8440
Epoch 073 | Loss: 1.0121 | Task: 0.4420 | KL: 1.1403 | Val Acc: 0.8510
Epoch 074 | Loss: 0.9912 | Task: 0.4329 | KL: 1.1166 | Val Acc: 0.8250
Epoch 075 | Loss: 1.0363 | Task: 0.4612 | KL: 1.1502 | Val Acc: 0.8110
Epoch 076 | Loss: 1.0250 | Task: 0.4570 | KL: 1.1360 | Val Acc: 0.7980
Epoch 077 | Loss: 1.0226 | Task: 0.4613 | KL: 1.1226 | Val Acc: 0.8100
Epoch 078 | Loss: 1.0200 | Task: 0.4523 | KL: 1.1355 | Val Acc: 0.8270
Epoch 079 | Loss: 1.0030 | Task: 0.4409 | KL: 1.1241 | Val Acc: 0.8030
Epoch 080 | Loss: 1.0025 | Task: 0.4441 | KL: 1.1167 | Val Acc: 0.8440
Epoch 081 | Loss: 1.0043 | Task: 0.4352 | KL: 1.1383 | Val Acc: 0.8420
Epoch 082 | Loss: 1.0104 | Task: 0.4336 | KL: 1.1535 | Val Acc: 0.8140
Epoch 083 | Loss: 0.9980 | Task: 0.4341 | KL: 1.1278 | Val Acc: 0.8020
Epoch 084 | Loss: 1.0061 | Task: 0.4446 | KL: 1.1229 | Val Acc: 0.8280
Epoch 085 | Loss: 1.0036 | Task: 0.4468 | KL: 1.1136 | Val Acc: 0.8330
Epoch 086 | Loss: 1.0064 | Task: 0.4495 | KL: 1.1136 | Val Acc: 0.8120
Epoch 087 | Loss: 1.0194 | Task: 0.4530 | KL: 1.1327 | Val Acc: 0.8270
Epoch 088 | Loss: 1.0054 | Task: 0.4457 | KL: 1.1194 | Val Acc: 0.8230
Epoch 089 | Loss: 1.0205 | Task: 0.4586 | KL: 1.1237 | Val Acc: 0.8170
Epoch 090 | Loss: 1.0046 | Task: 0.4395 | KL: 1.1302 | Val Acc: 0.8150
Epoch 091 | Loss: 1.0074 | Task: 0.4431 | KL: 1.1284 | Val Acc: 0.8290
Epoch 092 | Loss: 1.0227 | Task: 0.4556 | KL: 1.1343 | Val Acc: 0.8220
Epoch 093 | Loss: 1.0129 | Task: 0.4449 | KL: 1.1360 | Val Acc: 0.8520
Epoch 094 | Loss: 1.0128 | Task: 0.4393 | KL: 1.1470 | Val Acc: 0.8230
Epoch 095 | Loss: 1.0072 | Task: 0.4428 | KL: 1.1286 | Val Acc: 0.8090
Epoch 096 | Loss: 1.0165 | Task: 0.4488 | KL: 1.1354 | Val Acc: 0.8180
Epoch 097 | Loss: 1.0258 | Task: 0.4570 | KL: 1.1375 | Val Acc: 0.8320
Epoch 098 | Loss: 1.0187 | Task: 0.4484 | KL: 1.1407 | Val Acc: 0.8430
Epoch 099 | Loss: 1.0127 | Task: 0.4396 | KL: 1.1461 | Val Acc: 0.8360
Epoch 100 | Loss: 0.9933 | Task: 0.4294 | KL: 1.1278 | Val Acc: 0.8220

Best Val Acc: 0.8550
