Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2164 | Task: 0.9913 | KL: 0.4502 | Val Acc: 0.7780
Epoch 002 | Loss: 1.0455 | Task: 0.5039 | KL: 1.0831 | Val Acc: 0.8140
Epoch 003 | Loss: 1.0347 | Task: 0.4678 | KL: 1.1337 | Val Acc: 0.8290
Epoch 004 | Loss: 1.0206 | Task: 0.4575 | KL: 1.1262 | Val Acc: 0.8070
Epoch 005 | Loss: 1.0258 | Task: 0.4645 | KL: 1.1226 | Val Acc: 0.8120
Epoch 006 | Loss: 1.0200 | Task: 0.4549 | KL: 1.1302 | Val Acc: 0.8420
Epoch 007 | Loss: 1.0080 | Task: 0.4488 | KL: 1.1184 | Val Acc: 0.8380
Epoch 008 | Loss: 1.0163 | Task: 0.4591 | KL: 1.1144 | Val Acc: 0.8170
Epoch 009 | Loss: 1.0254 | Task: 0.4547 | KL: 1.1415 | Val Acc: 0.8240
Epoch 010 | Loss: 1.0126 | Task: 0.4467 | KL: 1.1318 | Val Acc: 0.8550
Epoch 011 | Loss: 1.0271 | Task: 0.4630 | KL: 1.1283 | Val Acc: 0.8040
Epoch 012 | Loss: 1.0044 | Task: 0.4435 | KL: 1.1217 | Val Acc: 0.8300
Epoch 013 | Loss: 1.0131 | Task: 0.4493 | KL: 1.1275 | Val Acc: 0.7930
Epoch 014 | Loss: 1.0146 | Task: 0.4511 | KL: 1.1271 | Val Acc: 0.8150
Epoch 015 | Loss: 1.0211 | Task: 0.4522 | KL: 1.1378 | Val Acc: 0.8370
Epoch 016 | Loss: 1.0233 | Task: 0.4615 | KL: 1.1237 | Val Acc: 0.8320
Epoch 017 | Loss: 1.0205 | Task: 0.4683 | KL: 1.1043 | Val Acc: 0.8250
Epoch 018 | Loss: 1.0216 | Task: 0.4469 | KL: 1.1493 | Val Acc: 0.8300
Epoch 019 | Loss: 1.0221 | Task: 0.4618 | KL: 1.1206 | Val Acc: 0.8320
Epoch 020 | Loss: 1.0189 | Task: 0.4512 | KL: 1.1355 | Val Acc: 0.8020
Epoch 021 | Loss: 1.0155 | Task: 0.4582 | KL: 1.1147 | Val Acc: 0.8260
Epoch 022 | Loss: 1.0117 | Task: 0.4419 | KL: 1.1396 | Val Acc: 0.8170
Epoch 023 | Loss: 1.0201 | Task: 0.4541 | KL: 1.1320 | Val Acc: 0.8250
Epoch 024 | Loss: 1.0176 | Task: 0.4584 | KL: 1.1183 | Val Acc: 0.7580
Epoch 025 | Loss: 1.0245 | Task: 0.4518 | KL: 1.1454 | Val Acc: 0.8290
Epoch 026 | Loss: 1.0240 | Task: 0.4519 | KL: 1.1443 | Val Acc: 0.8030
Epoch 027 | Loss: 0.9958 | Task: 0.4427 | KL: 1.1062 | Val Acc: 0.8180
Epoch 028 | Loss: 1.0029 | Task: 0.4437 | KL: 1.1184 | Val Acc: 0.8310
Epoch 029 | Loss: 1.0051 | Task: 0.4434 | KL: 1.1234 | Val Acc: 0.8240
Epoch 030 | Loss: 1.0105 | Task: 0.4516 | KL: 1.1177 | Val Acc: 0.8390
Epoch 031 | Loss: 1.0318 | Task: 0.4631 | KL: 1.1374 | Val Acc: 0.8200
Epoch 032 | Loss: 1.0088 | Task: 0.4476 | KL: 1.1224 | Val Acc: 0.8190
Epoch 033 | Loss: 1.0194 | Task: 0.4508 | KL: 1.1372 | Val Acc: 0.8250
Epoch 034 | Loss: 0.9990 | Task: 0.4354 | KL: 1.1273 | Val Acc: 0.8130
Epoch 035 | Loss: 1.0080 | Task: 0.4429 | KL: 1.1301 | Val Acc: 0.8300
Epoch 036 | Loss: 1.0107 | Task: 0.4428 | KL: 1.1359 | Val Acc: 0.8310
Epoch 037 | Loss: 1.0147 | Task: 0.4543 | KL: 1.1209 | Val Acc: 0.8130
Epoch 038 | Loss: 1.0166 | Task: 0.4544 | KL: 1.1245 | Val Acc: 0.8470
Epoch 039 | Loss: 1.0026 | Task: 0.4431 | KL: 1.1191 | Val Acc: 0.8300
Epoch 040 | Loss: 1.0070 | Task: 0.4405 | KL: 1.1331 | Val Acc: 0.8120
Epoch 041 | Loss: 1.0122 | Task: 0.4472 | KL: 1.1301 | Val Acc: 0.8450
Epoch 042 | Loss: 1.0027 | Task: 0.4364 | KL: 1.1326 | Val Acc: 0.8130
Epoch 043 | Loss: 1.0158 | Task: 0.4535 | KL: 1.1247 | Val Acc: 0.8260
Epoch 044 | Loss: 1.0041 | Task: 0.4451 | KL: 1.1180 | Val Acc: 0.8070
Epoch 045 | Loss: 1.0168 | Task: 0.4529 | KL: 1.1278 | Val Acc: 0.8280
Epoch 046 | Loss: 1.0078 | Task: 0.4508 | KL: 1.1141 | Val Acc: 0.8030
Epoch 047 | Loss: 1.0131 | Task: 0.4495 | KL: 1.1272 | Val Acc: 0.8210
Epoch 048 | Loss: 1.0248 | Task: 0.4504 | KL: 1.1489 | Val Acc: 0.8370
Epoch 049 | Loss: 1.0164 | Task: 0.4557 | KL: 1.1213 | Val Acc: 0.8070
Epoch 050 | Loss: 1.0112 | Task: 0.4496 | KL: 1.1233 | Val Acc: 0.8460
Epoch 051 | Loss: 1.0292 | Task: 0.4594 | KL: 1.1397 | Val Acc: 0.8130
Epoch 052 | Loss: 0.9887 | Task: 0.4313 | KL: 1.1148 | Val Acc: 0.8360
Epoch 053 | Loss: 1.0096 | Task: 0.4394 | KL: 1.1403 | Val Acc: 0.8260
Epoch 054 | Loss: 1.0021 | Task: 0.4347 | KL: 1.1349 | Val Acc: 0.8220
Epoch 055 | Loss: 1.0226 | Task: 0.4523 | KL: 1.1407 | Val Acc: 0.8190
Epoch 056 | Loss: 1.0300 | Task: 0.4525 | KL: 1.1550 | Val Acc: 0.8450
Epoch 057 | Loss: 1.0091 | Task: 0.4391 | KL: 1.1400 | Val Acc: 0.8170
Epoch 058 | Loss: 1.0121 | Task: 0.4528 | KL: 1.1186 | Val Acc: 0.8500
Epoch 059 | Loss: 1.0336 | Task: 0.4658 | KL: 1.1356 | Val Acc: 0.8140
Epoch 060 | Loss: 1.0112 | Task: 0.4408 | KL: 1.1409 | Val Acc: 0.8410
Epoch 061 | Loss: 1.0229 | Task: 0.4523 | KL: 1.1411 | Val Acc: 0.8070
Epoch 062 | Loss: 1.0168 | Task: 0.4600 | KL: 1.1136 | Val Acc: 0.8130
Epoch 063 | Loss: 1.0083 | Task: 0.4520 | KL: 1.1126 | Val Acc: 0.8110
Epoch 064 | Loss: 1.0211 | Task: 0.4503 | KL: 1.1416 | Val Acc: 0.7980
Epoch 065 | Loss: 1.0051 | Task: 0.4474 | KL: 1.1152 | Val Acc: 0.8390
Epoch 066 | Loss: 1.0185 | Task: 0.4525 | KL: 1.1319 | Val Acc: 0.8500
Epoch 067 | Loss: 1.0127 | Task: 0.4492 | KL: 1.1270 | Val Acc: 0.8220
Epoch 068 | Loss: 1.0155 | Task: 0.4532 | KL: 1.1247 | Val Acc: 0.8190
Epoch 069 | Loss: 1.0203 | Task: 0.4544 | KL: 1.1317 | Val Acc: 0.8460
Epoch 070 | Loss: 1.0136 | Task: 0.4506 | KL: 1.1260 | Val Acc: 0.8300
Epoch 071 | Loss: 1.0086 | Task: 0.4456 | KL: 1.1259 | Val Acc: 0.8220
Epoch 072 | Loss: 1.0149 | Task: 0.4417 | KL: 1.1464 | Val Acc: 0.7970
Epoch 073 | Loss: 1.0026 | Task: 0.4450 | KL: 1.1152 | Val Acc: 0.8230
Epoch 074 | Loss: 1.0080 | Task: 0.4464 | KL: 1.1231 | Val Acc: 0.8090
Epoch 075 | Loss: 1.0185 | Task: 0.4448 | KL: 1.1475 | Val Acc: 0.8310
Epoch 076 | Loss: 1.0120 | Task: 0.4494 | KL: 1.1254 | Val Acc: 0.8050
Epoch 077 | Loss: 1.0234 | Task: 0.4562 | KL: 1.1346 | Val Acc: 0.8090
Epoch 078 | Loss: 1.0166 | Task: 0.4601 | KL: 1.1129 | Val Acc: 0.8170
Epoch 079 | Loss: 1.0348 | Task: 0.4685 | KL: 1.1325 | Val Acc: 0.8330
Epoch 080 | Loss: 1.0053 | Task: 0.4470 | KL: 1.1165 | Val Acc: 0.8240
Epoch 081 | Loss: 1.0023 | Task: 0.4395 | KL: 1.1255 | Val Acc: 0.8410
Epoch 082 | Loss: 1.0092 | Task: 0.4395 | KL: 1.1394 | Val Acc: 0.8110
Epoch 083 | Loss: 1.0190 | Task: 0.4522 | KL: 1.1336 | Val Acc: 0.8090
Epoch 084 | Loss: 0.9948 | Task: 0.4410 | KL: 1.1075 | Val Acc: 0.8500
Epoch 085 | Loss: 1.0163 | Task: 0.4467 | KL: 1.1393 | Val Acc: 0.8190
Epoch 086 | Loss: 1.0040 | Task: 0.4466 | KL: 1.1148 | Val Acc: 0.8400
Epoch 087 | Loss: 1.0160 | Task: 0.4531 | KL: 1.1258 | Val Acc: 0.8380
Epoch 088 | Loss: 1.0142 | Task: 0.4564 | KL: 1.1156 | Val Acc: 0.8450
Epoch 089 | Loss: 1.0155 | Task: 0.4492 | KL: 1.1326 | Val Acc: 0.8350
Epoch 090 | Loss: 1.0143 | Task: 0.4481 | KL: 1.1324 | Val Acc: 0.8180
Epoch 091 | Loss: 1.0102 | Task: 0.4488 | KL: 1.1228 | Val Acc: 0.8200
Epoch 092 | Loss: 0.9986 | Task: 0.4342 | KL: 1.1288 | Val Acc: 0.8080
Epoch 093 | Loss: 1.0129 | Task: 0.4405 | KL: 1.1447 | Val Acc: 0.8360
Epoch 094 | Loss: 1.0054 | Task: 0.4442 | KL: 1.1225 | Val Acc: 0.8160
Epoch 095 | Loss: 1.0048 | Task: 0.4360 | KL: 1.1375 | Val Acc: 0.8280
Epoch 096 | Loss: 1.0048 | Task: 0.4498 | KL: 1.1100 | Val Acc: 0.8400
Epoch 097 | Loss: 1.0134 | Task: 0.4386 | KL: 1.1497 | Val Acc: 0.8420
Epoch 098 | Loss: 1.0089 | Task: 0.4373 | KL: 1.1433 | Val Acc: 0.8140
Epoch 099 | Loss: 1.0219 | Task: 0.4498 | KL: 1.1442 | Val Acc: 0.8370
Epoch 100 | Loss: 1.0049 | Task: 0.4472 | KL: 1.1156 | Val Acc: 0.8130

Best Val Acc: 0.8550
