Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2606 | Task: 1.0838 | KL: 0.3536 | Val Acc: 0.7090
Epoch 002 | Loss: 1.0460 | Task: 0.5530 | KL: 0.9860 | Val Acc: 0.8120
Epoch 003 | Loss: 1.0321 | Task: 0.4726 | KL: 1.1189 | Val Acc: 0.8200
Epoch 004 | Loss: 1.0309 | Task: 0.4779 | KL: 1.1059 | Val Acc: 0.8440
Epoch 005 | Loss: 1.0229 | Task: 0.4595 | KL: 1.1268 | Val Acc: 0.8220
Epoch 006 | Loss: 1.0217 | Task: 0.4646 | KL: 1.1142 | Val Acc: 0.8550
Epoch 007 | Loss: 1.0362 | Task: 0.4644 | KL: 1.1436 | Val Acc: 0.8250
Epoch 008 | Loss: 1.0177 | Task: 0.4626 | KL: 1.1102 | Val Acc: 0.8380
Epoch 009 | Loss: 1.0240 | Task: 0.4601 | KL: 1.1279 | Val Acc: 0.8380
Epoch 010 | Loss: 1.0174 | Task: 0.4599 | KL: 1.1149 | Val Acc: 0.8560
Epoch 011 | Loss: 1.0330 | Task: 0.4694 | KL: 1.1273 | Val Acc: 0.8260
Epoch 012 | Loss: 1.0335 | Task: 0.4664 | KL: 1.1342 | Val Acc: 0.7900
Epoch 013 | Loss: 1.0285 | Task: 0.4546 | KL: 1.1476 | Val Acc: 0.8560
Epoch 014 | Loss: 1.0254 | Task: 0.4632 | KL: 1.1244 | Val Acc: 0.8450
Epoch 015 | Loss: 1.0248 | Task: 0.4531 | KL: 1.1433 | Val Acc: 0.8100
Epoch 016 | Loss: 1.0186 | Task: 0.4518 | KL: 1.1338 | Val Acc: 0.8180
Epoch 017 | Loss: 1.0019 | Task: 0.4489 | KL: 1.1061 | Val Acc: 0.8140
Epoch 018 | Loss: 1.0245 | Task: 0.4551 | KL: 1.1388 | Val Acc: 0.8150
Epoch 019 | Loss: 1.0002 | Task: 0.4372 | KL: 1.1260 | Val Acc: 0.8400
Epoch 020 | Loss: 1.0222 | Task: 0.4534 | KL: 1.1376 | Val Acc: 0.7740
Epoch 021 | Loss: 1.0275 | Task: 0.4549 | KL: 1.1451 | Val Acc: 0.8250
Epoch 022 | Loss: 1.0021 | Task: 0.4464 | KL: 1.1115 | Val Acc: 0.8050
Epoch 023 | Loss: 1.0269 | Task: 0.4558 | KL: 1.1421 | Val Acc: 0.8310
Epoch 024 | Loss: 0.9985 | Task: 0.4398 | KL: 1.1174 | Val Acc: 0.8310
Epoch 025 | Loss: 1.0142 | Task: 0.4520 | KL: 1.1244 | Val Acc: 0.8420
Epoch 026 | Loss: 1.0110 | Task: 0.4512 | KL: 1.1196 | Val Acc: 0.8020
Epoch 027 | Loss: 1.0186 | Task: 0.4445 | KL: 1.1482 | Val Acc: 0.8160
Epoch 028 | Loss: 1.0005 | Task: 0.4463 | KL: 1.1085 | Val Acc: 0.8360
Epoch 029 | Loss: 1.0144 | Task: 0.4508 | KL: 1.1271 | Val Acc: 0.8130
Epoch 030 | Loss: 1.0091 | Task: 0.4437 | KL: 1.1308 | Val Acc: 0.8050
Epoch 031 | Loss: 1.0103 | Task: 0.4370 | KL: 1.1466 | Val Acc: 0.8290
Epoch 032 | Loss: 1.0167 | Task: 0.4481 | KL: 1.1373 | Val Acc: 0.8340
Epoch 033 | Loss: 0.9924 | Task: 0.4319 | KL: 1.1211 | Val Acc: 0.8270
Epoch 034 | Loss: 1.0163 | Task: 0.4417 | KL: 1.1491 | Val Acc: 0.7990
Epoch 035 | Loss: 1.0053 | Task: 0.4457 | KL: 1.1190 | Val Acc: 0.8360
Epoch 036 | Loss: 1.0208 | Task: 0.4561 | KL: 1.1292 | Val Acc: 0.8130
Epoch 037 | Loss: 1.0261 | Task: 0.4560 | KL: 1.1403 | Val Acc: 0.8020
Epoch 038 | Loss: 1.0118 | Task: 0.4464 | KL: 1.1309 | Val Acc: 0.8400
Epoch 039 | Loss: 1.0172 | Task: 0.4599 | KL: 1.1145 | Val Acc: 0.8370
Epoch 040 | Loss: 1.0184 | Task: 0.4619 | KL: 1.1129 | Val Acc: 0.8120
Epoch 041 | Loss: 1.0100 | Task: 0.4494 | KL: 1.1213 | Val Acc: 0.8020
Epoch 042 | Loss: 1.0041 | Task: 0.4290 | KL: 1.1501 | Val Acc: 0.8120
Epoch 043 | Loss: 1.0169 | Task: 0.4481 | KL: 1.1376 | Val Acc: 0.8240
Epoch 044 | Loss: 1.0173 | Task: 0.4507 | KL: 1.1334 | Val Acc: 0.8280
Epoch 045 | Loss: 1.0209 | Task: 0.4523 | KL: 1.1373 | Val Acc: 0.8270
Epoch 046 | Loss: 1.0123 | Task: 0.4536 | KL: 1.1175 | Val Acc: 0.8300
Epoch 047 | Loss: 1.0216 | Task: 0.4589 | KL: 1.1253 | Val Acc: 0.8160
Epoch 048 | Loss: 1.0195 | Task: 0.4534 | KL: 1.1321 | Val Acc: 0.8330
Epoch 049 | Loss: 1.0036 | Task: 0.4496 | KL: 1.1079 | Val Acc: 0.8180
Epoch 050 | Loss: 1.0190 | Task: 0.4574 | KL: 1.1231 | Val Acc: 0.8420
Epoch 051 | Loss: 1.0144 | Task: 0.4496 | KL: 1.1295 | Val Acc: 0.8400
Epoch 052 | Loss: 0.9862 | Task: 0.4272 | KL: 1.1178 | Val Acc: 0.8250
Epoch 053 | Loss: 1.0404 | Task: 0.4622 | KL: 1.1564 | Val Acc: 0.8060
Epoch 054 | Loss: 1.0204 | Task: 0.4544 | KL: 1.1321 | Val Acc: 0.8300
Epoch 055 | Loss: 1.0196 | Task: 0.4514 | KL: 1.1363 | Val Acc: 0.8550
Epoch 056 | Loss: 1.0126 | Task: 0.4490 | KL: 1.1272 | Val Acc: 0.8340
Epoch 057 | Loss: 1.0009 | Task: 0.4420 | KL: 1.1177 | Val Acc: 0.8320
Epoch 058 | Loss: 1.0126 | Task: 0.4518 | KL: 1.1215 | Val Acc: 0.8410
Epoch 059 | Loss: 1.0052 | Task: 0.4442 | KL: 1.1220 | Val Acc: 0.8080
Epoch 060 | Loss: 1.0054 | Task: 0.4416 | KL: 1.1275 | Val Acc: 0.8290
Epoch 061 | Loss: 1.0095 | Task: 0.4468 | KL: 1.1255 | Val Acc: 0.8250
Epoch 062 | Loss: 1.0119 | Task: 0.4470 | KL: 1.1299 | Val Acc: 0.8190
Epoch 063 | Loss: 1.0128 | Task: 0.4452 | KL: 1.1351 | Val Acc: 0.8000
Epoch 064 | Loss: 1.0388 | Task: 0.4655 | KL: 1.1466 | Val Acc: 0.8210
Epoch 065 | Loss: 1.0187 | Task: 0.4554 | KL: 1.1267 | Val Acc: 0.8270
Epoch 066 | Loss: 1.0220 | Task: 0.4534 | KL: 1.1373 | Val Acc: 0.8390
Epoch 067 | Loss: 1.0285 | Task: 0.4562 | KL: 1.1446 | Val Acc: 0.8200
Epoch 068 | Loss: 1.0092 | Task: 0.4459 | KL: 1.1267 | Val Acc: 0.8220
Epoch 069 | Loss: 1.0266 | Task: 0.4519 | KL: 1.1494 | Val Acc: 0.8240
Epoch 070 | Loss: 1.0197 | Task: 0.4492 | KL: 1.1409 | Val Acc: 0.8120
Epoch 071 | Loss: 1.0035 | Task: 0.4387 | KL: 1.1296 | Val Acc: 0.8100
Epoch 072 | Loss: 1.0156 | Task: 0.4463 | KL: 1.1386 | Val Acc: 0.8400
Epoch 073 | Loss: 1.0328 | Task: 0.4596 | KL: 1.1462 | Val Acc: 0.8070
Epoch 074 | Loss: 1.0116 | Task: 0.4429 | KL: 1.1374 | Val Acc: 0.8240
Epoch 075 | Loss: 1.0245 | Task: 0.4514 | KL: 1.1461 | Val Acc: 0.8410
Epoch 076 | Loss: 0.9947 | Task: 0.4283 | KL: 1.1329 | Val Acc: 0.8250
Epoch 077 | Loss: 1.0240 | Task: 0.4487 | KL: 1.1506 | Val Acc: 0.8140
Epoch 078 | Loss: 1.0170 | Task: 0.4567 | KL: 1.1206 | Val Acc: 0.8030
Epoch 079 | Loss: 1.0141 | Task: 0.4464 | KL: 1.1354 | Val Acc: 0.8260
Epoch 080 | Loss: 1.0300 | Task: 0.4550 | KL: 1.1500 | Val Acc: 0.8150
Epoch 081 | Loss: 1.0218 | Task: 0.4522 | KL: 1.1393 | Val Acc: 0.8470
Epoch 082 | Loss: 1.0096 | Task: 0.4530 | KL: 1.1132 | Val Acc: 0.8140
Epoch 083 | Loss: 1.0167 | Task: 0.4531 | KL: 1.1272 | Val Acc: 0.8130
Epoch 084 | Loss: 1.0205 | Task: 0.4545 | KL: 1.1318 | Val Acc: 0.8070
Epoch 085 | Loss: 1.0106 | Task: 0.4461 | KL: 1.1290 | Val Acc: 0.8250
Epoch 086 | Loss: 1.0028 | Task: 0.4358 | KL: 1.1340 | Val Acc: 0.8220
Epoch 087 | Loss: 1.0119 | Task: 0.4450 | KL: 1.1338 | Val Acc: 0.8130
Epoch 088 | Loss: 1.0061 | Task: 0.4418 | KL: 1.1285 | Val Acc: 0.8000
Epoch 089 | Loss: 0.9954 | Task: 0.4312 | KL: 1.1284 | Val Acc: 0.8070
Epoch 090 | Loss: 1.0070 | Task: 0.4402 | KL: 1.1335 | Val Acc: 0.8000
Epoch 091 | Loss: 0.9976 | Task: 0.4359 | KL: 1.1234 | Val Acc: 0.8120
Epoch 092 | Loss: 1.0294 | Task: 0.4632 | KL: 1.1324 | Val Acc: 0.8430
Epoch 093 | Loss: 1.0026 | Task: 0.4412 | KL: 1.1227 | Val Acc: 0.8440
Epoch 094 | Loss: 1.0405 | Task: 0.4675 | KL: 1.1458 | Val Acc: 0.8190
Epoch 095 | Loss: 1.0061 | Task: 0.4375 | KL: 1.1373 | Val Acc: 0.8220
Epoch 096 | Loss: 1.0078 | Task: 0.4406 | KL: 1.1344 | Val Acc: 0.8290
Epoch 097 | Loss: 1.0098 | Task: 0.4362 | KL: 1.1472 | Val Acc: 0.8270
Epoch 098 | Loss: 1.0149 | Task: 0.4447 | KL: 1.1404 | Val Acc: 0.8210
Epoch 099 | Loss: 1.0141 | Task: 0.4469 | KL: 1.1343 | Val Acc: 0.8380
Epoch 100 | Loss: 1.0233 | Task: 0.4483 | KL: 1.1501 | Val Acc: 0.8490

Best Val Acc: 0.8560
