Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2047 | Task: 0.9343 | KL: 0.5409 | Val Acc: 0.8170
Epoch 002 | Loss: 1.0364 | Task: 0.4843 | KL: 1.1041 | Val Acc: 0.8000
Epoch 003 | Loss: 1.0360 | Task: 0.4808 | KL: 1.1104 | Val Acc: 0.8340
Epoch 004 | Loss: 1.0311 | Task: 0.4738 | KL: 1.1146 | Val Acc: 0.8410
Epoch 005 | Loss: 1.0255 | Task: 0.4614 | KL: 1.1282 | Val Acc: 0.8170
Epoch 006 | Loss: 1.0158 | Task: 0.4596 | KL: 1.1123 | Val Acc: 0.8290
Epoch 007 | Loss: 1.0315 | Task: 0.4662 | KL: 1.1304 | Val Acc: 0.8150
Epoch 008 | Loss: 1.0204 | Task: 0.4553 | KL: 1.1301 | Val Acc: 0.8090
Epoch 009 | Loss: 1.0215 | Task: 0.4595 | KL: 1.1239 | Val Acc: 0.8450
Epoch 010 | Loss: 1.0291 | Task: 0.4709 | KL: 1.1164 | Val Acc: 0.8070
Epoch 011 | Loss: 0.9952 | Task: 0.4403 | KL: 1.1096 | Val Acc: 0.8250
Epoch 012 | Loss: 1.0273 | Task: 0.4571 | KL: 1.1404 | Val Acc: 0.8440
Epoch 013 | Loss: 1.0250 | Task: 0.4592 | KL: 1.1317 | Val Acc: 0.8490
Epoch 014 | Loss: 1.0132 | Task: 0.4569 | KL: 1.1125 | Val Acc: 0.8270
Epoch 015 | Loss: 1.0193 | Task: 0.4539 | KL: 1.1307 | Val Acc: 0.8340
Epoch 016 | Loss: 1.0298 | Task: 0.4641 | KL: 1.1314 | Val Acc: 0.8160
Epoch 017 | Loss: 1.0218 | Task: 0.4608 | KL: 1.1220 | Val Acc: 0.8080
Epoch 018 | Loss: 1.0080 | Task: 0.4528 | KL: 1.1104 | Val Acc: 0.8360
Epoch 019 | Loss: 1.0181 | Task: 0.4532 | KL: 1.1299 | Val Acc: 0.8500
Epoch 020 | Loss: 1.0263 | Task: 0.4552 | KL: 1.1423 | Val Acc: 0.8180
Epoch 021 | Loss: 1.0175 | Task: 0.4612 | KL: 1.1127 | Val Acc: 0.8350
Epoch 022 | Loss: 1.0218 | Task: 0.4522 | KL: 1.1392 | Val Acc: 0.8250
Epoch 023 | Loss: 1.0098 | Task: 0.4467 | KL: 1.1263 | Val Acc: 0.8110
Epoch 024 | Loss: 1.0147 | Task: 0.4519 | KL: 1.1255 | Val Acc: 0.8420
Epoch 025 | Loss: 1.0231 | Task: 0.4650 | KL: 1.1162 | Val Acc: 0.8340
Epoch 026 | Loss: 1.0179 | Task: 0.4553 | KL: 1.1252 | Val Acc: 0.8330
Epoch 027 | Loss: 1.0336 | Task: 0.4594 | KL: 1.1484 | Val Acc: 0.8240
Epoch 028 | Loss: 1.0117 | Task: 0.4475 | KL: 1.1284 | Val Acc: 0.7880
Epoch 029 | Loss: 1.0041 | Task: 0.4477 | KL: 1.1128 | Val Acc: 0.8290
Epoch 030 | Loss: 1.0326 | Task: 0.4528 | KL: 1.1596 | Val Acc: 0.8260
Epoch 031 | Loss: 1.0154 | Task: 0.4492 | KL: 1.1325 | Val Acc: 0.8150
Epoch 032 | Loss: 1.0122 | Task: 0.4456 | KL: 1.1332 | Val Acc: 0.8490
Epoch 033 | Loss: 1.0183 | Task: 0.4586 | KL: 1.1194 | Val Acc: 0.8110
Epoch 034 | Loss: 1.0306 | Task: 0.4655 | KL: 1.1303 | Val Acc: 0.8410
Epoch 035 | Loss: 1.0247 | Task: 0.4595 | KL: 1.1305 | Val Acc: 0.8270
Epoch 036 | Loss: 1.0090 | Task: 0.4517 | KL: 1.1145 | Val Acc: 0.8250
