Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2811 | Task: 1.1454 | KL: 0.2715 | Val Acc: 0.7190
Epoch 002 | Loss: 1.0482 | Task: 0.5186 | KL: 1.0592 | Val Acc: 0.7970
Epoch 003 | Loss: 1.0038 | Task: 0.4507 | KL: 1.1061 | Val Acc: 0.8230
Epoch 004 | Loss: 1.0290 | Task: 0.4628 | KL: 1.1324 | Val Acc: 0.8120
Epoch 005 | Loss: 1.0248 | Task: 0.4664 | KL: 1.1169 | Val Acc: 0.7980
Epoch 006 | Loss: 1.0351 | Task: 0.4609 | KL: 1.1484 | Val Acc: 0.8470
Epoch 007 | Loss: 1.0048 | Task: 0.4547 | KL: 1.1003 | Val Acc: 0.8200
Epoch 008 | Loss: 1.0077 | Task: 0.4460 | KL: 1.1234 | Val Acc: 0.8240
Epoch 009 | Loss: 1.0280 | Task: 0.4584 | KL: 1.1392 | Val Acc: 0.8410
Epoch 010 | Loss: 1.0210 | Task: 0.4616 | KL: 1.1188 | Val Acc: 0.8160
Epoch 011 | Loss: 1.0276 | Task: 0.4611 | KL: 1.1329 | Val Acc: 0.8180
Epoch 012 | Loss: 1.0161 | Task: 0.4540 | KL: 1.1241 | Val Acc: 0.8430
Epoch 013 | Loss: 1.0243 | Task: 0.4584 | KL: 1.1320 | Val Acc: 0.8290
Epoch 014 | Loss: 1.0231 | Task: 0.4589 | KL: 1.1286 | Val Acc: 0.8620
Epoch 015 | Loss: 1.0198 | Task: 0.4549 | KL: 1.1297 | Val Acc: 0.8340
Epoch 016 | Loss: 1.0177 | Task: 0.4548 | KL: 1.1259 | Val Acc: 0.8310
Epoch 017 | Loss: 1.0252 | Task: 0.4624 | KL: 1.1257 | Val Acc: 0.8120
Epoch 018 | Loss: 1.0322 | Task: 0.4666 | KL: 1.1311 | Val Acc: 0.8190
Epoch 019 | Loss: 1.0198 | Task: 0.4499 | KL: 1.1398 | Val Acc: 0.8200
Epoch 020 | Loss: 1.0269 | Task: 0.4615 | KL: 1.1307 | Val Acc: 0.8420
Epoch 021 | Loss: 1.0297 | Task: 0.4641 | KL: 1.1311 | Val Acc: 0.8270
Epoch 022 | Loss: 1.0235 | Task: 0.4557 | KL: 1.1356 | Val Acc: 0.8130
Epoch 023 | Loss: 1.0180 | Task: 0.4497 | KL: 1.1366 | Val Acc: 0.8180
Epoch 024 | Loss: 1.0212 | Task: 0.4519 | KL: 1.1386 | Val Acc: 0.8410
Epoch 025 | Loss: 1.0132 | Task: 0.4452 | KL: 1.1361 | Val Acc: 0.8210
Epoch 026 | Loss: 1.0278 | Task: 0.4549 | KL: 1.1457 | Val Acc: 0.8390
Epoch 027 | Loss: 1.0246 | Task: 0.4575 | KL: 1.1342 | Val Acc: 0.8300
Epoch 028 | Loss: 1.0116 | Task: 0.4444 | KL: 1.1344 | Val Acc: 0.8430
Epoch 029 | Loss: 1.0196 | Task: 0.4492 | KL: 1.1408 | Val Acc: 0.8130
Epoch 030 | Loss: 1.0250 | Task: 0.4538 | KL: 1.1423 | Val Acc: 0.8360
Epoch 031 | Loss: 1.0254 | Task: 0.4528 | KL: 1.1452 | Val Acc: 0.8280
Epoch 032 | Loss: 1.0048 | Task: 0.4403 | KL: 1.1291 | Val Acc: 0.8360
