Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2501 | Task: 1.0477 | KL: 0.4049 | Val Acc: 0.8310
Epoch 002 | Loss: 1.0392 | Task: 0.4860 | KL: 1.1064 | Val Acc: 0.8180
Epoch 003 | Loss: 1.0472 | Task: 0.4780 | KL: 1.1384 | Val Acc: 0.8100
Epoch 004 | Loss: 1.0282 | Task: 0.4680 | KL: 1.1205 | Val Acc: 0.8240
Epoch 005 | Loss: 1.0231 | Task: 0.4666 | KL: 1.1130 | Val Acc: 0.8560
Epoch 006 | Loss: 1.0310 | Task: 0.4730 | KL: 1.1160 | Val Acc: 0.8160
Epoch 007 | Loss: 1.0110 | Task: 0.4565 | KL: 1.1090 | Val Acc: 0.8210
Epoch 008 | Loss: 1.0184 | Task: 0.4552 | KL: 1.1264 | Val Acc: 0.8110
Epoch 009 | Loss: 1.0231 | Task: 0.4567 | KL: 1.1328 | Val Acc: 0.8480
Epoch 010 | Loss: 1.0253 | Task: 0.4541 | KL: 1.1424 | Val Acc: 0.8080
Epoch 011 | Loss: 1.0245 | Task: 0.4618 | KL: 1.1255 | Val Acc: 0.8220
Epoch 012 | Loss: 1.0073 | Task: 0.4438 | KL: 1.1271 | Val Acc: 0.8210
Epoch 013 | Loss: 1.0231 | Task: 0.4595 | KL: 1.1272 | Val Acc: 0.8440
Epoch 014 | Loss: 1.0269 | Task: 0.4650 | KL: 1.1237 | Val Acc: 0.8390
Epoch 015 | Loss: 0.9989 | Task: 0.4413 | KL: 1.1151 | Val Acc: 0.8200
Epoch 016 | Loss: 1.0120 | Task: 0.4415 | KL: 1.1408 | Val Acc: 0.8110
Epoch 017 | Loss: 1.0186 | Task: 0.4512 | KL: 1.1348 | Val Acc: 0.8310
Epoch 018 | Loss: 1.0223 | Task: 0.4549 | KL: 1.1349 | Val Acc: 0.8180
Epoch 019 | Loss: 1.0055 | Task: 0.4415 | KL: 1.1281 | Val Acc: 0.8280
Epoch 020 | Loss: 1.0001 | Task: 0.4425 | KL: 1.1151 | Val Acc: 0.8240
Epoch 021 | Loss: 1.0118 | Task: 0.4499 | KL: 1.1237 | Val Acc: 0.8370
Epoch 022 | Loss: 1.0174 | Task: 0.4541 | KL: 1.1266 | Val Acc: 0.8440
Epoch 023 | Loss: 1.0222 | Task: 0.4467 | KL: 1.1511 | Val Acc: 0.8020
Epoch 024 | Loss: 1.0281 | Task: 0.4488 | KL: 1.1585 | Val Acc: 0.8330
Epoch 025 | Loss: 1.0109 | Task: 0.4512 | KL: 1.1193 | Val Acc: 0.8210
Epoch 026 | Loss: 0.9982 | Task: 0.4341 | KL: 1.1283 | Val Acc: 0.8340
Epoch 027 | Loss: 1.0159 | Task: 0.4505 | KL: 1.1309 | Val Acc: 0.8040
Epoch 028 | Loss: 1.0144 | Task: 0.4508 | KL: 1.1271 | Val Acc: 0.8360
Epoch 029 | Loss: 1.0310 | Task: 0.4551 | KL: 1.1518 | Val Acc: 0.8150
Epoch 030 | Loss: 1.0157 | Task: 0.4467 | KL: 1.1380 | Val Acc: 0.8210
Epoch 031 | Loss: 1.0055 | Task: 0.4409 | KL: 1.1293 | Val Acc: 0.8120
Epoch 032 | Loss: 1.0206 | Task: 0.4521 | KL: 1.1369 | Val Acc: 0.8250
Epoch 033 | Loss: 1.0303 | Task: 0.4565 | KL: 1.1475 | Val Acc: 0.8280
Epoch 034 | Loss: 1.0208 | Task: 0.4532 | KL: 1.1352 | Val Acc: 0.8300
Epoch 035 | Loss: 1.0174 | Task: 0.4564 | KL: 1.1222 | Val Acc: 0.8080
Epoch 036 | Loss: 1.0195 | Task: 0.4521 | KL: 1.1349 | Val Acc: 0.8200
Epoch 037 | Loss: 1.0143 | Task: 0.4429 | KL: 1.1427 | Val Acc: 0.8150
Epoch 038 | Loss: 0.9942 | Task: 0.4349 | KL: 1.1186 | Val Acc: 0.8180
Epoch 039 | Loss: 1.0207 | Task: 0.4496 | KL: 1.1421 | Val Acc: 0.8320
Epoch 040 | Loss: 1.0110 | Task: 0.4512 | KL: 1.1197 | Val Acc: 0.8010
