Device : cuda
SNR    : -5 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                              
Epoch 001 | Loss: 1.3810 | Task: 1.3761 | KL: 0.0098 | Val Acc: 0.3040
Epoch 002 | Loss: 1.3818 | Task: 1.3769 | KL: 0.0097 | Val Acc: 0.2950
Epoch 003 | Loss: 1.3809 | Task: 1.3790 | KL: 0.0039 | Val Acc: 0.3030
Epoch 004 | Loss: 1.3807 | Task: 1.3770 | KL: 0.0074 | Val Acc: 0.3220
Epoch 005 | Loss: 1.3816 | Task: 1.3793 | KL: 0.0047 | Val Acc: 0.3070
Epoch 006 | Loss: 1.3812 | Task: 1.3803 | KL: 0.0017 | Val Acc: 0.2920
Epoch 007 | Loss: 1.3798 | Task: 1.3783 | KL: 0.0030 | Val Acc: 0.2930
Epoch 008 | Loss: 1.3812 | Task: 1.3802 | KL: 0.0019 | Val Acc: 0.2960
Epoch 009 | Loss: 1.3798 | Task: 1.3785 | KL: 0.0025 | Val Acc: 0.3050
Epoch 010 | Loss: 1.3810 | Task: 1.3788 | KL: 0.0044 | Val Acc: 0.3040
Epoch 011 | Loss: 1.3792 | Task: 1.3752 | KL: 0.0081 | Val Acc: 0.2930
Epoch 012 | Loss: 1.3808 | Task: 1.3766 | KL: 0.0084 | Val Acc: 0.2980
Epoch 013 | Loss: 1.3789 | Task: 1.3747 | KL: 0.0084 | Val Acc: 0.2990
Epoch 014 | Loss: 1.3790 | Task: 1.3672 | KL: 0.0236 | Val Acc: 0.3090
Epoch 015 | Loss: 1.3810 | Task: 1.3752 | KL: 0.0116 | Val Acc: 0.3040
Epoch 016 | Loss: 1.3799 | Task: 1.3755 | KL: 0.0088 | Val Acc: 0.2890
Epoch 017 | Loss: 1.3795 | Task: 1.3739 | KL: 0.0111 | Val Acc: 0.3170
Epoch 018 | Loss: 1.3806 | Task: 1.3755 | KL: 0.0103 | Val Acc: 0.3010
Epoch 019 | Loss: 1.3803 | Task: 1.3755 | KL: 0.0096 | Val Acc: 0.3060
Epoch 020 | Loss: 1.3806 | Task: 1.3768 | KL: 0.0075 | Val Acc: 0.3050
Epoch 021 | Loss: 1.3795 | Task: 1.3770 | KL: 0.0049 | Val Acc: 0.3090
Epoch 022 | Loss: 1.3801 | Task: 1.3765 | KL: 0.0071 | Val Acc: 0.3030
Epoch 023 | Loss: 1.3803 | Task: 1.3782 | KL: 0.0042 | Val Acc: 0.3030
Epoch 024 | Loss: 1.3802 | Task: 1.3788 | KL: 0.0028 | Val Acc: 0.2890
Epoch 025 | Loss: 1.3804 | Task: 1.3794 | KL: 0.0020 | Val Acc: 0.3030
Epoch 026 | Loss: 1.3790 | Task: 1.3774 | KL: 0.0031 | Val Acc: 0.3130
Epoch 027 | Loss: 1.3796 | Task: 1.3782 | KL: 0.0030 | Val Acc: 0.3020
Epoch 028 | Loss: 1.3806 | Task: 1.3791 | KL: 0.0030 | Val Acc: 0.3000
Epoch 029 | Loss: 1.3792 | Task: 1.3779 | KL: 0.0026 | Val Acc: 0.3080
Epoch 030 | Loss: 1.3801 | Task: 1.3779 | KL: 0.0044 | Val Acc: 0.2990
Epoch 031 | Loss: 1.3798 | Task: 1.3786 | KL: 0.0024 | Val Acc: 0.3080
