Device : cuda
SNR    : 0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                              
Epoch 001 | Loss: 1.3768 | Task: 1.3616 | KL: 0.0304 | Val Acc: 0.4280
Epoch 002 | Loss: 1.3167 | Task: 1.0920 | KL: 0.4494 | Val Acc: 0.5270
Epoch 003 | Loss: 1.3412 | Task: 1.0378 | KL: 0.6067 | Val Acc: 0.5540
Epoch 004 | Loss: 1.3213 | Task: 1.0129 | KL: 0.6168 | Val Acc: 0.5630
Epoch 005 | Loss: 1.3298 | Task: 1.0080 | KL: 0.6438 | Val Acc: 0.5750
Epoch 006 | Loss: 1.3181 | Task: 0.9953 | KL: 0.6457 | Val Acc: 0.5650
Epoch 007 | Loss: 1.3291 | Task: 1.0126 | KL: 0.6331 | Val Acc: 0.6140
Epoch 008 | Loss: 1.3262 | Task: 0.9966 | KL: 0.6592 | Val Acc: 0.5920
Epoch 009 | Loss: 1.3246 | Task: 0.9956 | KL: 0.6581 | Val Acc: 0.5780
Epoch 010 | Loss: 1.3261 | Task: 0.9851 | KL: 0.6820 | Val Acc: 0.6030
Epoch 011 | Loss: 1.3192 | Task: 0.9914 | KL: 0.6556 | Val Acc: 0.6210
Epoch 012 | Loss: 1.3165 | Task: 0.9803 | KL: 0.6723 | Val Acc: 0.5620
Epoch 013 | Loss: 1.3122 | Task: 0.9747 | KL: 0.6750 | Val Acc: 0.5820
Epoch 014 | Loss: 1.3335 | Task: 0.9982 | KL: 0.6707 | Val Acc: 0.5880
Epoch 015 | Loss: 1.3157 | Task: 0.9879 | KL: 0.6556 | Val Acc: 0.6010
Epoch 016 | Loss: 1.3201 | Task: 0.9799 | KL: 0.6803 | Val Acc: 0.5620
Epoch 017 | Loss: 1.3276 | Task: 0.9893 | KL: 0.6766 | Val Acc: 0.5770
Epoch 018 | Loss: 1.3288 | Task: 0.9865 | KL: 0.6845 | Val Acc: 0.5710
Epoch 019 | Loss: 1.3270 | Task: 0.9976 | KL: 0.6589 | Val Acc: 0.5890
Epoch 020 | Loss: 1.3236 | Task: 0.9902 | KL: 0.6667 | Val Acc: 0.5970
Epoch 021 | Loss: 1.3122 | Task: 0.9804 | KL: 0.6636 | Val Acc: 0.5820
Epoch 022 | Loss: 1.3338 | Task: 0.9936 | KL: 0.6805 | Val Acc: 0.5560
Epoch 023 | Loss: 1.3228 | Task: 0.9913 | KL: 0.6629 | Val Acc: 0.5660
Epoch 024 | Loss: 1.3140 | Task: 0.9799 | KL: 0.6681 | Val Acc: 0.5610
Epoch 025 | Loss: 1.3237 | Task: 0.9961 | KL: 0.6553 | Val Acc: 0.5600
Epoch 026 | Loss: 1.3279 | Task: 0.9939 | KL: 0.6680 | Val Acc: 0.5970
Epoch 027 | Loss: 1.3250 | Task: 0.9915 | KL: 0.6671 | Val Acc: 0.5990
Epoch 028 | Loss: 1.3344 | Task: 1.0054 | KL: 0.6580 | Val Acc: 0.5520
Epoch 029 | Loss: 1.3208 | Task: 0.9875 | KL: 0.6666 | Val Acc: 0.5700
Epoch 030 | Loss: 1.3300 | Task: 0.9963 | KL: 0.6673 | Val Acc: 0.5880
Epoch 031 | Loss: 1.3220 | Task: 0.9968 | KL: 0.6504 | Val Acc: 0.5980
Epoch 032 | Loss: 1.3226 | Task: 0.9920 | KL: 0.6611 | Val Acc: 0.5580
Epoch 033 | Loss: 1.3176 | Task: 0.9810 | KL: 0.6734 | Val Acc: 0.5830
Epoch 034 | Loss: 1.3128 | Task: 0.9781 | KL: 0.6694 | Val Acc: 0.5680
Epoch 035 | Loss: 1.3346 | Task: 0.9925 | KL: 0.6842 | Val Acc: 0.5500
Epoch 036 | Loss: 1.3209 | Task: 0.9895 | KL: 0.6628 | Val Acc: 0.5640
Epoch 037 | Loss: 1.3257 | Task: 0.9931 | KL: 0.6652 | Val Acc: 0.5850
Epoch 038 | Loss: 1.3114 | Task: 0.9635 | KL: 0.6959 | Val Acc: 0.5800
Epoch 039 | Loss: 1.3287 | Task: 0.9916 | KL: 0.6740 | Val Acc: 0.6010
Epoch 040 | Loss: 1.3254 | Task: 0.9916 | KL: 0.6677 | Val Acc: 0.5970
Epoch 041 | Loss: 1.3142 | Task: 0.9775 | KL: 0.6734 | Val Acc: 0.5840
Epoch 042 | Loss: 1.3291 | Task: 0.9904 | KL: 0.6774 | Val Acc: 0.5840
Epoch 043 | Loss: 1.3318 | Task: 0.9995 | KL: 0.6647 | Val Acc: 0.5530
Epoch 044 | Loss: 1.3319 | Task: 1.0084 | KL: 0.6471 | Val Acc: 0.5730
Epoch 045 | Loss: 1.3193 | Task: 0.9905 | KL: 0.6576 | Val Acc: 0.5770
Epoch 046 | Loss: 1.3107 | Task: 0.9794 | KL: 0.6626 | Val Acc: 0.5710
Epoch 047 | Loss: 1.3145 | Task: 0.9820 | KL: 0.6651 | Val Acc: 0.5910
Epoch 048 | Loss: 1.3209 | Task: 0.9734 | KL: 0.6952 | Val Acc: 0.5990
Epoch 049 | Loss: 1.3362 | Task: 1.0003 | KL: 0.6717 | Val Acc: 0.5880
Epoch 050 | Loss: 1.3213 | Task: 0.9865 | KL: 0.6695 | Val Acc: 0.5870
Epoch 051 | Loss: 1.3128 | Task: 0.9774 | KL: 0.6707 | Val Acc: 0.5870
Epoch 052 | Loss: 1.3328 | Task: 0.9915 | KL: 0.6826 | Val Acc: 0.5790
Epoch 053 | Loss: 1.3133 | Task: 0.9794 | KL: 0.6677 | Val Acc: 0.5960
Epoch 054 | Loss: 1.3196 | Task: 0.9806 | KL: 0.6780 | Val Acc: 0.5520
Epoch 055 | Loss: 1.3162 | Task: 0.9843 | KL: 0.6638 | Val Acc: 0.5730
Epoch 056 | Loss: 1.3116 | Task: 0.9735 | KL: 0.6762 | Val Acc: 0.5890
Epoch 057 | Loss: 1.3258 | Task: 0.9810 | KL: 0.6896 | Val Acc: 0.5500
Epoch 058 | Loss: 1.3207 | Task: 0.9785 | KL: 0.6844 | Val Acc: 0.5710
Epoch 059 | Loss: 1.3308 | Task: 0.9926 | KL: 0.6764 | Val Acc: 0.5790
Epoch 060 | Loss: 1.3138 | Task: 0.9812 | KL: 0.6650 | Val Acc: 0.5690
Epoch 061 | Loss: 1.3239 | Task: 0.9902 | KL: 0.6674 | Val Acc: 0.5780
Epoch 062 | Loss: 1.3292 | Task: 0.9977 | KL: 0.6629 | Val Acc: 0.5870
Epoch 063 | Loss: 1.3275 | Task: 0.9899 | KL: 0.6751 | Val Acc: 0.5980
Epoch 064 | Loss: 1.3310 | Task: 0.9903 | KL: 0.6814 | Val Acc: 0.5500
Epoch 065 | Loss: 1.3276 | Task: 0.9949 | KL: 0.6654 | Val Acc: 0.5940
Epoch 066 | Loss: 1.3287 | Task: 0.9828 | KL: 0.6917 | Val Acc: 0.5960
Epoch 067 | Loss: 1.3225 | Task: 0.9836 | KL: 0.6778 | Val Acc: 0.6110
Epoch 068 | Loss: 1.3092 | Task: 0.9727 | KL: 0.6731 | Val Acc: 0.5840
Epoch 069 | Loss: 1.3309 | Task: 0.9840 | KL: 0.6938 | Val Acc: 0.5860
Epoch 070 | Loss: 1.3278 | Task: 0.9967 | KL: 0.6620 | Val Acc: 0.5710
Epoch 071 | Loss: 1.3242 | Task: 0.9927 | KL: 0.6629 | Val Acc: 0.5860
Epoch 072 | Loss: 1.3201 | Task: 0.9889 | KL: 0.6623 | Val Acc: 0.5980
Epoch 073 | Loss: 1.3151 | Task: 0.9835 | KL: 0.6632 | Val Acc: 0.5860
Epoch 074 | Loss: 1.3359 | Task: 0.9982 | KL: 0.6755 | Val Acc: 0.5900
Epoch 075 | Loss: 1.3195 | Task: 0.9884 | KL: 0.6622 | Val Acc: 0.5780
Epoch 076 | Loss: 1.3178 | Task: 0.9809 | KL: 0.6738 | Val Acc: 0.5850
Epoch 077 | Loss: 1.3130 | Task: 0.9756 | KL: 0.6747 | Val Acc: 0.5700
Epoch 078 | Loss: 1.3266 | Task: 0.9930 | KL: 0.6672 | Val Acc: 0.5890
Epoch 079 | Loss: 1.3247 | Task: 0.9888 | KL: 0.6717 | Val Acc: 0.5700
Epoch 080 | Loss: 1.3304 | Task: 0.9978 | KL: 0.6653 | Val Acc: 0.5690
Epoch 081 | Loss: 1.3190 | Task: 0.9944 | KL: 0.6492 | Val Acc: 0.5590
Epoch 082 | Loss: 1.3318 | Task: 0.9916 | KL: 0.6805 | Val Acc: 0.5630
Epoch 083 | Loss: 1.3229 | Task: 0.9835 | KL: 0.6789 | Val Acc: 0.6000
Epoch 084 | Loss: 1.3292 | Task: 0.9936 | KL: 0.6713 | Val Acc: 0.5720
Epoch 085 | Loss: 1.3215 | Task: 0.9848 | KL: 0.6735 | Val Acc: 0.5600
Epoch 086 | Loss: 1.3153 | Task: 0.9791 | KL: 0.6724 | Val Acc: 0.6130
Epoch 087 | Loss: 1.3232 | Task: 0.9815 | KL: 0.6834 | Val Acc: 0.5730
Epoch 088 | Loss: 1.3274 | Task: 1.0027 | KL: 0.6494 | Val Acc: 0.5770
Epoch 089 | Loss: 1.3251 | Task: 0.9909 | KL: 0.6683 | Val Acc: 0.5880
Epoch 090 | Loss: 1.3248 | Task: 0.9797 | KL: 0.6902 | Val Acc: 0.6150
Epoch 091 | Loss: 1.3338 | Task: 0.9965 | KL: 0.6747 | Val Acc: 0.5820
Epoch 092 | Loss: 1.3290 | Task: 0.9973 | KL: 0.6634 | Val Acc: 0.5690
Epoch 093 | Loss: 1.3189 | Task: 0.9862 | KL: 0.6655 | Val Acc: 0.6130
Epoch 094 | Loss: 1.3241 | Task: 0.9844 | KL: 0.6795 | Val Acc: 0.5900
Epoch 095 | Loss: 1.3284 | Task: 0.9900 | KL: 0.6768 | Val Acc: 0.5750
Epoch 096 | Loss: 1.3143 | Task: 0.9754 | KL: 0.6780 | Val Acc: 0.5900
Epoch 097 | Loss: 1.3177 | Task: 0.9812 | KL: 0.6730 | Val Acc: 0.5610
Epoch 098 | Loss: 1.3206 | Task: 0.9832 | KL: 0.6750 | Val Acc: 0.5910
Epoch 099 | Loss: 1.3246 | Task: 0.9916 | KL: 0.6660 | Val Acc: 0.5600
