Device : cuda
SNR    : 5 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                              
Epoch 001 | Loss: 1.3226 | Task: 1.2443 | KL: 0.1565 | Val Acc: 0.5080
Epoch 002 | Loss: 1.1831 | Task: 0.9550 | KL: 0.4563 | Val Acc: 0.6390
Epoch 003 | Loss: 1.0837 | Task: 0.6805 | KL: 0.8065 | Val Acc: 0.7410
Epoch 004 | Loss: 1.0666 | Task: 0.6321 | KL: 0.8691 | Val Acc: 0.7600
Epoch 005 | Loss: 1.0519 | Task: 0.5819 | KL: 0.9402 | Val Acc: 0.8150
Epoch 006 | Loss: 1.0337 | Task: 0.4897 | KL: 1.0881 | Val Acc: 0.7910
Epoch 007 | Loss: 1.0180 | Task: 0.4606 | KL: 1.1149 | Val Acc: 0.7980
Epoch 008 | Loss: 1.0229 | Task: 0.4622 | KL: 1.1214 | Val Acc: 0.8280
Epoch 009 | Loss: 1.0014 | Task: 0.4464 | KL: 1.1100 | Val Acc: 0.8330
Epoch 010 | Loss: 1.0137 | Task: 0.4537 | KL: 1.1200 | Val Acc: 0.8130
Epoch 011 | Loss: 1.0277 | Task: 0.4601 | KL: 1.1352 | Val Acc: 0.8040
Epoch 012 | Loss: 1.0223 | Task: 0.4573 | KL: 1.1299 | Val Acc: 0.8050
Epoch 013 | Loss: 1.0167 | Task: 0.4598 | KL: 1.1137 | Val Acc: 0.8360
Epoch 014 | Loss: 1.0074 | Task: 0.4485 | KL: 1.1177 | Val Acc: 0.8060
Epoch 015 | Loss: 1.0285 | Task: 0.4553 | KL: 1.1464 | Val Acc: 0.8250
Epoch 016 | Loss: 1.0053 | Task: 0.4501 | KL: 1.1106 | Val Acc: 0.8270
Epoch 017 | Loss: 1.0204 | Task: 0.4523 | KL: 1.1363 | Val Acc: 0.8020
Epoch 018 | Loss: 1.0082 | Task: 0.4445 | KL: 1.1274 | Val Acc: 0.8360
Epoch 019 | Loss: 1.0248 | Task: 0.4556 | KL: 1.1383 | Val Acc: 0.8050
Epoch 020 | Loss: 1.0257 | Task: 0.4609 | KL: 1.1296 | Val Acc: 0.8260
Epoch 021 | Loss: 1.0313 | Task: 0.4642 | KL: 1.1343 | Val Acc: 0.8190
Epoch 022 | Loss: 1.0211 | Task: 0.4543 | KL: 1.1337 | Val Acc: 0.8320
Epoch 023 | Loss: 1.0017 | Task: 0.4484 | KL: 1.1067 | Val Acc: 0.8150
Epoch 024 | Loss: 1.0149 | Task: 0.4390 | KL: 1.1519 | Val Acc: 0.8370
Epoch 025 | Loss: 1.0152 | Task: 0.4508 | KL: 1.1286 | Val Acc: 0.8000
Epoch 026 | Loss: 1.0283 | Task: 0.4561 | KL: 1.1443 | Val Acc: 0.8260
Epoch 027 | Loss: 1.0223 | Task: 0.4525 | KL: 1.1395 | Val Acc: 0.7970
Epoch 028 | Loss: 1.0078 | Task: 0.4540 | KL: 1.1076 | Val Acc: 0.8300
Epoch 029 | Loss: 1.0047 | Task: 0.4457 | KL: 1.1180 | Val Acc: 0.7980
Epoch 030 | Loss: 1.0212 | Task: 0.4577 | KL: 1.1270 | Val Acc: 0.8420
Epoch 031 | Loss: 1.0306 | Task: 0.4539 | KL: 1.1535 | Val Acc: 0.8330
Epoch 032 | Loss: 0.9975 | Task: 0.4361 | KL: 1.1228 | Val Acc: 0.8110
Epoch 033 | Loss: 0.9938 | Task: 0.4351 | KL: 1.1174 | Val Acc: 0.8210
Epoch 034 | Loss: 1.0147 | Task: 0.4536 | KL: 1.1222 | Val Acc: 0.8210
Epoch 035 | Loss: 1.0237 | Task: 0.4547 | KL: 1.1381 | Val Acc: 0.8160
Epoch 036 | Loss: 1.0184 | Task: 0.4535 | KL: 1.1298 | Val Acc: 0.8180
Epoch 037 | Loss: 1.0149 | Task: 0.4531 | KL: 1.1235 | Val Acc: 0.8240
Epoch 038 | Loss: 1.0019 | Task: 0.4484 | KL: 1.1070 | Val Acc: 0.8590
Epoch 039 | Loss: 0.9998 | Task: 0.4397 | KL: 1.1203 | Val Acc: 0.8360
Epoch 040 | Loss: 1.0169 | Task: 0.4467 | KL: 1.1403 | Val Acc: 0.8260
Epoch 041 | Loss: 1.0324 | Task: 0.4561 | KL: 1.1526 | Val Acc: 0.8300
Epoch 042 | Loss: 1.0282 | Task: 0.4567 | KL: 1.1431 | Val Acc: 0.8370
Epoch 043 | Loss: 1.0297 | Task: 0.4620 | KL: 1.1352 | Val Acc: 0.8210
Epoch 044 | Loss: 1.0149 | Task: 0.4503 | KL: 1.1290 | Val Acc: 0.8100
Epoch 045 | Loss: 1.0167 | Task: 0.4510 | KL: 1.1314 | Val Acc: 0.8220
Epoch 046 | Loss: 1.0328 | Task: 0.4623 | KL: 1.1410 | Val Acc: 0.8290
Epoch 047 | Loss: 1.0194 | Task: 0.4550 | KL: 1.1288 | Val Acc: 0.8350
Epoch 048 | Loss: 0.9967 | Task: 0.4313 | KL: 1.1309 | Val Acc: 0.8030
Epoch 049 | Loss: 1.0069 | Task: 0.4459 | KL: 1.1219 | Val Acc: 0.7970
Epoch 050 | Loss: 1.0136 | Task: 0.4500 | KL: 1.1271 | Val Acc: 0.8300
Epoch 051 | Loss: 1.0087 | Task: 0.4400 | KL: 1.1373 | Val Acc: 0.7990
Epoch 052 | Loss: 1.0208 | Task: 0.4529 | KL: 1.1357 | Val Acc: 0.8380
Epoch 053 | Loss: 1.0152 | Task: 0.4481 | KL: 1.1344 | Val Acc: 0.8300
Epoch 054 | Loss: 1.0112 | Task: 0.4505 | KL: 1.1212 | Val Acc: 0.7960
Epoch 055 | Loss: 1.0112 | Task: 0.4480 | KL: 1.1263 | Val Acc: 0.8470
Epoch 056 | Loss: 1.0143 | Task: 0.4436 | KL: 1.1414 | Val Acc: 0.8080
Epoch 057 | Loss: 1.0220 | Task: 0.4533 | KL: 1.1374 | Val Acc: 0.8160
Epoch 058 | Loss: 1.0216 | Task: 0.4531 | KL: 1.1370 | Val Acc: 0.8300
Epoch 059 | Loss: 0.9981 | Task: 0.4360 | KL: 1.1242 | Val Acc: 0.8230
Epoch 060 | Loss: 1.0098 | Task: 0.4378 | KL: 1.1439 | Val Acc: 0.8350
Epoch 061 | Loss: 1.0163 | Task: 0.4479 | KL: 1.1368 | Val Acc: 0.8280
Epoch 062 | Loss: 1.0210 | Task: 0.4443 | KL: 1.1535 | Val Acc: 0.8510
Epoch 063 | Loss: 1.0139 | Task: 0.4400 | KL: 1.1479 | Val Acc: 0.8430
Epoch 064 | Loss: 0.9979 | Task: 0.4354 | KL: 1.1249 | Val Acc: 0.8280
Epoch 065 | Loss: 1.0170 | Task: 0.4416 | KL: 1.1507 | Val Acc: 0.8140
Epoch 066 | Loss: 1.0104 | Task: 0.4511 | KL: 1.1184 | Val Acc: 0.8440
Epoch 067 | Loss: 1.0381 | Task: 0.4620 | KL: 1.1521 | Val Acc: 0.8230
Epoch 068 | Loss: 1.0111 | Task: 0.4460 | KL: 1.1301 | Val Acc: 0.8350
Epoch 069 | Loss: 1.0198 | Task: 0.4501 | KL: 1.1392 | Val Acc: 0.8230
Epoch 070 | Loss: 0.9958 | Task: 0.4335 | KL: 1.1247 | Val Acc: 0.8340
Epoch 071 | Loss: 1.0259 | Task: 0.4468 | KL: 1.1582 | Val Acc: 0.8540
Epoch 072 | Loss: 1.0099 | Task: 0.4413 | KL: 1.1371 | Val Acc: 0.8410
Epoch 073 | Loss: 1.0278 | Task: 0.4440 | KL: 1.1677 | Val Acc: 0.8510
Epoch 074 | Loss: 1.0261 | Task: 0.4524 | KL: 1.1474 | Val Acc: 0.8360
Epoch 075 | Loss: 1.0178 | Task: 0.4484 | KL: 1.1387 | Val Acc: 0.8240
Epoch 076 | Loss: 0.9957 | Task: 0.4371 | KL: 1.1172 | Val Acc: 0.8120
Epoch 077 | Loss: 1.0072 | Task: 0.4410 | KL: 1.1325 | Val Acc: 0.8300
Epoch 078 | Loss: 1.0155 | Task: 0.4456 | KL: 1.1399 | Val Acc: 0.8190
Epoch 079 | Loss: 1.0025 | Task: 0.4366 | KL: 1.1318 | Val Acc: 0.8210
Epoch 080 | Loss: 1.0279 | Task: 0.4539 | KL: 1.1480 | Val Acc: 0.8240
Epoch 081 | Loss: 1.0109 | Task: 0.4428 | KL: 1.1363 | Val Acc: 0.8470
Epoch 082 | Loss: 1.0068 | Task: 0.4440 | KL: 1.1256 | Val Acc: 0.8220
Epoch 083 | Loss: 1.0118 | Task: 0.4433 | KL: 1.1369 | Val Acc: 0.8200
Epoch 084 | Loss: 1.0057 | Task: 0.4380 | KL: 1.1354 | Val Acc: 0.8060
Epoch 085 | Loss: 1.0089 | Task: 0.4366 | KL: 1.1447 | Val Acc: 0.8250
Epoch 086 | Loss: 1.0166 | Task: 0.4513 | KL: 1.1305 | Val Acc: 0.8410
Epoch 087 | Loss: 1.0106 | Task: 0.4452 | KL: 1.1308 | Val Acc: 0.8150
Epoch 088 | Loss: 0.9893 | Task: 0.4300 | KL: 1.1187 | Val Acc: 0.8430
Epoch 089 | Loss: 1.0029 | Task: 0.4358 | KL: 1.1342 | Val Acc: 0.8220
Epoch 090 | Loss: 0.9968 | Task: 0.4269 | KL: 1.1399 | Val Acc: 0.8330
Epoch 091 | Loss: 1.0138 | Task: 0.4407 | KL: 1.1462 | Val Acc: 0.8260
Epoch 092 | Loss: 1.0052 | Task: 0.4373 | KL: 1.1358 | Val Acc: 0.8460
Epoch 093 | Loss: 1.0114 | Task: 0.4413 | KL: 1.1402 | Val Acc: 0.8290
Epoch 094 | Loss: 1.0086 | Task: 0.4372 | KL: 1.1428 | Val Acc: 0.8280
Epoch 095 | Loss: 1.0198 | Task: 0.4499 | KL: 1.1399 | Val Acc: 0.7870
Epoch 096 | Loss: 0.9901 | Task: 0.4343 | KL: 1.1116 | Val Acc: 0.8230
Epoch 097 | Loss: 1.0138 | Task: 0.4440 | KL: 1.1394 | Val Acc: 0.8310
Epoch 098 | Loss: 1.0013 | Task: 0.4420 | KL: 1.1186 | Val Acc: 0.8480
Epoch 099 | Loss: 1.0132 | Task: 0.4422 | KL: 1.1422 | Val Acc: 0.8360
Epoch 100 | Loss: 1.0002 | Task: 0.4392 | KL: 1.1219 | Val Acc: 0.8200

Best Val Acc: 0.8590
