Device : cuda
SNR    : 10 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                              
Epoch 001 | Loss: 1.3098 | Task: 1.2288 | KL: 0.1621 | Val Acc: 0.8170
Epoch 002 | Loss: 0.8497 | Task: 0.4049 | KL: 0.8896 | Val Acc: 0.8870
Epoch 003 | Loss: 0.7103 | Task: 0.2333 | KL: 0.9540 | Val Acc: 0.9350
Epoch 004 | Loss: 0.7029 | Task: 0.2032 | KL: 0.9994 | Val Acc: 0.9170
Epoch 005 | Loss: 0.6913 | Task: 0.1938 | KL: 0.9950 | Val Acc: 0.9560
Epoch 006 | Loss: 0.6913 | Task: 0.1835 | KL: 1.0155 | Val Acc: 0.9060
Epoch 007 | Loss: 0.6946 | Task: 0.1888 | KL: 1.0116 | Val Acc: 0.9120
Epoch 008 | Loss: 0.6757 | Task: 0.1791 | KL: 0.9933 | Val Acc: 0.9560
Epoch 009 | Loss: 0.6827 | Task: 0.1773 | KL: 1.0107 | Val Acc: 0.9300
Epoch 010 | Loss: 0.6858 | Task: 0.1727 | KL: 1.0262 | Val Acc: 0.9380
Epoch 011 | Loss: 0.6976 | Task: 0.1792 | KL: 1.0367 | Val Acc: 0.9160
Epoch 012 | Loss: 0.6875 | Task: 0.1803 | KL: 1.0142 | Val Acc: 0.9360
Epoch 013 | Loss: 0.6762 | Task: 0.1725 | KL: 1.0073 | Val Acc: 0.9320
Epoch 014 | Loss: 0.6788 | Task: 0.1771 | KL: 1.0035 | Val Acc: 0.9540
Epoch 015 | Loss: 0.6715 | Task: 0.1700 | KL: 1.0030 | Val Acc: 0.9480
Epoch 016 | Loss: 0.6822 | Task: 0.1712 | KL: 1.0219 | Val Acc: 0.9190
Epoch 017 | Loss: 0.6860 | Task: 0.1778 | KL: 1.0165 | Val Acc: 0.9180
Epoch 018 | Loss: 0.6854 | Task: 0.1765 | KL: 1.0178 | Val Acc: 0.9080
