Device : cuda
SNR    : 15 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                              
Epoch 001 | Loss: 1.2703 | Task: 1.1618 | KL: 0.2171 | Val Acc: 0.8670
Epoch 002 | Loss: 0.7210 | Task: 0.2987 | KL: 0.8446 | Val Acc: 0.9600
Epoch 003 | Loss: 0.6210 | Task: 0.1712 | KL: 0.8996 | Val Acc: 0.9620
Epoch 004 | Loss: 0.5963 | Task: 0.1437 | KL: 0.9052 | Val Acc: 0.9550
Epoch 005 | Loss: 0.5885 | Task: 0.1299 | KL: 0.9170 | Val Acc: 0.9820
Epoch 006 | Loss: 0.5853 | Task: 0.1233 | KL: 0.9241 | Val Acc: 0.9450
Epoch 007 | Loss: 0.5807 | Task: 0.1249 | KL: 0.9116 | Val Acc: 0.9780
Epoch 008 | Loss: 0.5867 | Task: 0.1195 | KL: 0.9343 | Val Acc: 0.9520
Epoch 009 | Loss: 0.5751 | Task: 0.1212 | KL: 0.9078 | Val Acc: 0.9400
Epoch 010 | Loss: 0.5647 | Task: 0.1117 | KL: 0.9060 | Val Acc: 0.9480
Epoch 011 | Loss: 0.5770 | Task: 0.1144 | KL: 0.9251 | Val Acc: 0.9490
Epoch 012 | Loss: 0.5727 | Task: 0.1120 | KL: 0.9214 | Val Acc: 0.9570
Epoch 013 | Loss: 0.5847 | Task: 0.1187 | KL: 0.9319 | Val Acc: 0.9710
Epoch 014 | Loss: 0.5781 | Task: 0.1180 | KL: 0.9203 | Val Acc: 0.9780
Epoch 015 | Loss: 0.5742 | Task: 0.1162 | KL: 0.9160 | Val Acc: 0.9630
Epoch 016 | Loss: 0.5716 | Task: 0.1105 | KL: 0.9221 | Val Acc: 0.9720
Epoch 017 | Loss: 0.5720 | Task: 0.1095 | KL: 0.9249 | Val Acc: 0.9740
Epoch 018 | Loss: 0.5671 | Task: 0.1095 | KL: 0.9153 | Val Acc: 0.9640
Epoch 019 | Loss: 0.5783 | Task: 0.1142 | KL: 0.9283 | Val Acc: 0.9570
Epoch 020 | Loss: 0.5783 | Task: 0.1112 | KL: 0.9342 | Val Acc: 0.9620
Epoch 021 | Loss: 0.5681 | Task: 0.1057 | KL: 0.9247 | Val Acc: 0.9690
Epoch 022 | Loss: 0.5613 | Task: 0.1086 | KL: 0.9053 | Val Acc: 0.9620
Epoch 023 | Loss: 0.5664 | Task: 0.1011 | KL: 0.9307 | Val Acc: 0.9650
Epoch 024 | Loss: 0.5607 | Task: 0.1079 | KL: 0.9056 | Val Acc: 0.9510
Epoch 025 | Loss: 0.5619 | Task: 0.1050 | KL: 0.9137 | Val Acc: 0.9640
Epoch 026 | Loss: 0.5631 | Task: 0.1041 | KL: 0.9180 | Val Acc: 0.9690
Epoch 027 | Loss: 0.5680 | Task: 0.1074 | KL: 0.9213 | Val Acc: 0.9610
Epoch 028 | Loss: 0.5726 | Task: 0.1119 | KL: 0.9215 | Val Acc: 0.9780
Epoch 029 | Loss: 0.5664 | Task: 0.1059 | KL: 0.9210 | Val Acc: 0.9610
Epoch 030 | Loss: 0.5610 | Task: 0.1053 | KL: 0.9113 | Val Acc: 0.9120
Epoch 031 | Loss: 0.5632 | Task: 0.1045 | KL: 0.9174 | Val Acc: 0.9360
Epoch 032 | Loss: 0.5636 | Task: 0.1058 | KL: 0.9156 | Val Acc: 0.9390
Epoch 033 | Loss: 0.5601 | Task: 0.1068 | KL: 0.9066 | Val Acc: 0.9540
Epoch 034 | Loss: 0.5687 | Task: 0.1034 | KL: 0.9305 | Val Acc: 0.9810
Epoch 035 | Loss: 0.5593 | Task: 0.1009 | KL: 0.9170 | Val Acc: 0.9530
Epoch 036 | Loss: 0.5714 | Task: 0.1070 | KL: 0.9288 | Val Acc: 0.9600
Epoch 037 | Loss: 0.5571 | Task: 0.1052 | KL: 0.9039 | Val Acc: 0.9650
Epoch 038 | Loss: 0.5646 | Task: 0.1029 | KL: 0.9234 | Val Acc: 0.9420
Epoch 039 | Loss: 0.5595 | Task: 0.1040 | KL: 0.9110 | Val Acc: 0.9530
Epoch 040 | Loss: 0.5654 | Task: 0.1043 | KL: 0.9223 | Val Acc: 0.9570
Epoch 041 | Loss: 0.5523 | Task: 0.1005 | KL: 0.9037 | Val Acc: 0.9680
Epoch 042 | Loss: 0.5607 | Task: 0.1034 | KL: 0.9146 | Val Acc: 0.9730
Epoch 043 | Loss: 0.5597 | Task: 0.0999 | KL: 0.9197 | Val Acc: 0.9800
Epoch 044 | Loss: 0.5572 | Task: 0.1018 | KL: 0.9107 | Val Acc: 0.9500
Epoch 045 | Loss: 0.5653 | Task: 0.1073 | KL: 0.9159 | Val Acc: 0.9750
Epoch 046 | Loss: 0.5584 | Task: 0.0983 | KL: 0.9203 | Val Acc: 0.9450
Epoch 047 | Loss: 0.5561 | Task: 0.0986 | KL: 0.9151 | Val Acc: 0.9520
Epoch 048 | Loss: 0.5619 | Task: 0.1027 | KL: 0.9185 | Val Acc: 0.9620
Epoch 049 | Loss: 0.5519 | Task: 0.0994 | KL: 0.9049 | Val Acc: 0.9470
Epoch 050 | Loss: 0.5536 | Task: 0.0986 | KL: 0.9099 | Val Acc: 0.9570
Epoch 051 | Loss: 0.5517 | Task: 0.0966 | KL: 0.9103 | Val Acc: 0.9700
Epoch 052 | Loss: 0.5549 | Task: 0.0982 | KL: 0.9135 | Val Acc: 0.9590
Epoch 053 | Loss: 0.5529 | Task: 0.1020 | KL: 0.9020 | Val Acc: 0.9600
Epoch 054 | Loss: 0.5433 | Task: 0.0989 | KL: 0.8887 | Val Acc: 0.9730
Epoch 055 | Loss: 0.5506 | Task: 0.0980 | KL: 0.9052 | Val Acc: 0.9610
Epoch 056 | Loss: 0.5582 | Task: 0.1054 | KL: 0.9054 | Val Acc: 0.9700
Epoch 057 | Loss: 0.5411 | Task: 0.0965 | KL: 0.8891 | Val Acc: 0.9450
Epoch 058 | Loss: 0.5512 | Task: 0.0989 | KL: 0.9047 | Val Acc: 0.9700
Epoch 059 | Loss: 0.5480 | Task: 0.0989 | KL: 0.8983 | Val Acc: 0.9490
Epoch 060 | Loss: 0.5489 | Task: 0.1014 | KL: 0.8950 | Val Acc: 0.9660
Epoch 061 | Loss: 0.5342 | Task: 0.0971 | KL: 0.8744 | Val Acc: 0.9640
Epoch 062 | Loss: 0.5363 | Task: 0.0919 | KL: 0.8888 | Val Acc: 0.9610
Epoch 063 | Loss: 0.5417 | Task: 0.0972 | KL: 0.8890 | Val Acc: 0.9570
Epoch 064 | Loss: 0.5472 | Task: 0.0973 | KL: 0.8999 | Val Acc: 0.9680
Epoch 065 | Loss: 0.5423 | Task: 0.0962 | KL: 0.8922 | Val Acc: 0.9630
Epoch 066 | Loss: 0.5316 | Task: 0.0890 | KL: 0.8852 | Val Acc: 0.9700
Epoch 067 | Loss: 0.5407 | Task: 0.0935 | KL: 0.8945 | Val Acc: 0.9500
Epoch 068 | Loss: 0.5447 | Task: 0.0938 | KL: 0.9016 | Val Acc: 0.9520
Epoch 069 | Loss: 0.5440 | Task: 0.0908 | KL: 0.9063 | Val Acc: 0.9700
Epoch 070 | Loss: 0.5340 | Task: 0.0923 | KL: 0.8833 | Val Acc: 0.9770
Epoch 071 | Loss: 0.5328 | Task: 0.0861 | KL: 0.8934 | Val Acc: 0.9720
Epoch 072 | Loss: 0.5366 | Task: 0.0909 | KL: 0.8916 | Val Acc: 0.9730
Epoch 073 | Loss: 0.5305 | Task: 0.0867 | KL: 0.8876 | Val Acc: 0.9640
Epoch 074 | Loss: 0.5322 | Task: 0.0892 | KL: 0.8859 | Val Acc: 0.9530
Epoch 075 | Loss: 0.5342 | Task: 0.0903 | KL: 0.8877 | Val Acc: 0.9870
Epoch 076 | Loss: 0.5382 | Task: 0.0896 | KL: 0.8974 | Val Acc: 0.9690
Epoch 077 | Loss: 0.5320 | Task: 0.0860 | KL: 0.8920 | Val Acc: 0.9670
Epoch 078 | Loss: 0.5207 | Task: 0.0810 | KL: 0.8795 | Val Acc: 0.9620
Epoch 079 | Loss: 0.5354 | Task: 0.0895 | KL: 0.8920 | Val Acc: 0.9620
Epoch 080 | Loss: 0.5411 | Task: 0.0920 | KL: 0.8983 | Val Acc: 0.9830
Epoch 081 | Loss: 0.5381 | Task: 0.0899 | KL: 0.8963 | Val Acc: 0.9750
Epoch 082 | Loss: 0.5311 | Task: 0.0879 | KL: 0.8865 | Val Acc: 0.9720
Epoch 083 | Loss: 0.5365 | Task: 0.0849 | KL: 0.9033 | Val Acc: 0.9670
Epoch 084 | Loss: 0.5381 | Task: 0.0867 | KL: 0.9029 | Val Acc: 0.9650
Epoch 085 | Loss: 0.5318 | Task: 0.0856 | KL: 0.8925 | Val Acc: 0.9750
Epoch 086 | Loss: 0.5392 | Task: 0.0868 | KL: 0.9048 | Val Acc: 0.9710
Epoch 087 | Loss: 0.5406 | Task: 0.0924 | KL: 0.8964 | Val Acc: 0.9450
Epoch 088 | Loss: 0.5314 | Task: 0.0911 | KL: 0.8806 | Val Acc: 0.9730
Epoch 089 | Loss: 0.5362 | Task: 0.0870 | KL: 0.8984 | Val Acc: 0.9660
Epoch 090 | Loss: 0.5287 | Task: 0.0854 | KL: 0.8866 | Val Acc: 0.9630
Epoch 091 | Loss: 0.5325 | Task: 0.0863 | KL: 0.8923 | Val Acc: 0.9800
Epoch 092 | Loss: 0.5438 | Task: 0.0920 | KL: 0.9036 | Val Acc: 0.9840
Epoch 093 | Loss: 0.5404 | Task: 0.0896 | KL: 0.9016 | Val Acc: 0.9690
Epoch 094 | Loss: 0.5369 | Task: 0.0887 | KL: 0.8964 | Val Acc: 0.9530
Epoch 095 | Loss: 0.5331 | Task: 0.0929 | KL: 0.8804 | Val Acc: 0.9660
Epoch 096 | Loss: 0.5296 | Task: 0.0866 | KL: 0.8859 | Val Acc: 0.9670
Epoch 097 | Loss: 0.5396 | Task: 0.0893 | KL: 0.9007 | Val Acc: 0.9680
Epoch 098 | Loss: 0.5308 | Task: 0.0890 | KL: 0.8835 | Val Acc: 0.9730
Epoch 099 | Loss: 0.5347 | Task: 0.0900 | KL: 0.8893 | Val Acc: 0.9710
Epoch 100 | Loss: 0.5370 | Task: 0.0892 | KL: 0.8955 | Val Acc: 0.9630

Best Val Acc: 0.9870
