Device : cuda
SNR    : 20 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                              
Epoch 001 | Loss: 1.2775 | Task: 1.1784 | KL: 0.1982 | Val Acc: 0.7680
Epoch 002 | Loss: 0.7359 | Task: 0.3325 | KL: 0.8068 | Val Acc: 0.9310
Epoch 003 | Loss: 0.5930 | Task: 0.1593 | KL: 0.8676 | Val Acc: 0.9800
Epoch 004 | Loss: 0.5719 | Task: 0.1326 | KL: 0.8786 | Val Acc: 0.9750
Epoch 005 | Loss: 0.5699 | Task: 0.1255 | KL: 0.8889 | Val Acc: 0.9680
Epoch 006 | Loss: 0.5552 | Task: 0.1100 | KL: 0.8904 | Val Acc: 0.9830
Epoch 007 | Loss: 0.5512 | Task: 0.1050 | KL: 0.8925 | Val Acc: 0.9520
Epoch 008 | Loss: 0.5493 | Task: 0.1049 | KL: 0.8888 | Val Acc: 0.9590
Epoch 009 | Loss: 0.5414 | Task: 0.1020 | KL: 0.8789 | Val Acc: 0.9750
Epoch 010 | Loss: 0.5481 | Task: 0.1012 | KL: 0.8939 | Val Acc: 0.9730
Epoch 011 | Loss: 0.5447 | Task: 0.0997 | KL: 0.8899 | Val Acc: 0.9700
Epoch 012 | Loss: 0.5468 | Task: 0.0979 | KL: 0.8977 | Val Acc: 0.9640
Epoch 013 | Loss: 0.5455 | Task: 0.1001 | KL: 0.8908 | Val Acc: 0.9370
Epoch 014 | Loss: 0.5488 | Task: 0.0986 | KL: 0.9003 | Val Acc: 0.9620
Epoch 015 | Loss: 0.5420 | Task: 0.0945 | KL: 0.8950 | Val Acc: 0.9730
Epoch 016 | Loss: 0.5440 | Task: 0.0910 | KL: 0.9060 | Val Acc: 0.9550
Epoch 017 | Loss: 0.5400 | Task: 0.0921 | KL: 0.8958 | Val Acc: 0.9590
Epoch 018 | Loss: 0.5390 | Task: 0.0944 | KL: 0.8892 | Val Acc: 0.9770
Epoch 019 | Loss: 0.5405 | Task: 0.0932 | KL: 0.8946 | Val Acc: 0.9710
Epoch 020 | Loss: 0.5315 | Task: 0.0881 | KL: 0.8869 | Val Acc: 0.9470
Epoch 021 | Loss: 0.5300 | Task: 0.0906 | KL: 0.8788 | Val Acc: 0.9680
Epoch 022 | Loss: 0.5379 | Task: 0.0896 | KL: 0.8965 | Val Acc: 0.9390
Epoch 023 | Loss: 0.5466 | Task: 0.0936 | KL: 0.9061 | Val Acc: 0.9750
Epoch 024 | Loss: 0.5359 | Task: 0.0931 | KL: 0.8857 | Val Acc: 0.9390
Epoch 025 | Loss: 0.5415 | Task: 0.0955 | KL: 0.8921 | Val Acc: 0.9730
Epoch 026 | Loss: 0.5286 | Task: 0.0895 | KL: 0.8781 | Val Acc: 0.9780
Epoch 027 | Loss: 0.5329 | Task: 0.0944 | KL: 0.8771 | Val Acc: 0.9950
Epoch 028 | Loss: 0.5373 | Task: 0.0922 | KL: 0.8902 | Val Acc: 0.9860
Epoch 029 | Loss: 0.5223 | Task: 0.0856 | KL: 0.8735 | Val Acc: 0.9780
