Device : cuda
SNR    : 5.0 dB
Beta   : 0.001
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 0.9271 | Task: 0.7641 | KL: 162.9554 | Val Acc: 0.8510
Epoch 002 | Loss: 0.6356 | Task: 0.2793 | KL: 356.3324 | Val Acc: 0.9260
Epoch 003 | Loss: 0.5919 | Task: 0.2314 | KL: 360.5684 | Val Acc: 0.8880
Epoch 004 | Loss: 0.5912 | Task: 0.2221 | KL: 369.1641 | Val Acc: 0.9190
Epoch 005 | Loss: 0.5763 | Task: 0.2198 | KL: 356.5092 | Val Acc: 0.9280
Epoch 006 | Loss: 0.5799 | Task: 0.2130 | KL: 366.8622 | Val Acc: 0.9220
Epoch 007 | Loss: 0.5790 | Task: 0.2203 | KL: 358.6880 | Val Acc: 0.9190
Epoch 008 | Loss: 0.5765 | Task: 0.2165 | KL: 359.9081 | Val Acc: 0.9190
Epoch 009 | Loss: 0.5926 | Task: 0.2192 | KL: 373.4535 | Val Acc: 0.9250
Epoch 010 | Loss: 0.5624 | Task: 0.2038 | KL: 358.5743 | Val Acc: 0.9150
Epoch 011 | Loss: 0.5694 | Task: 0.2033 | KL: 366.0810 | Val Acc: 0.9180
Epoch 012 | Loss: 0.5695 | Task: 0.2056 | KL: 363.8863 | Val Acc: 0.9220
Epoch 013 | Loss: 0.5713 | Task: 0.2025 | KL: 368.7742 | Val Acc: 0.9000
Epoch 014 | Loss: 0.5558 | Task: 0.2011 | KL: 354.6645 | Val Acc: 0.9250
Epoch 015 | Loss: 0.5551 | Task: 0.2000 | KL: 355.1715 | Val Acc: 0.9340
Epoch 016 | Loss: 0.5554 | Task: 0.1996 | KL: 355.8434 | Val Acc: 0.9180
Epoch 017 | Loss: 0.5918 | Task: 0.2160 | KL: 375.7330 | Val Acc: 0.9260
Epoch 018 | Loss: 0.5702 | Task: 0.2040 | KL: 366.2111 | Val Acc: 0.9300
Epoch 019 | Loss: 0.5737 | Task: 0.2092 | KL: 364.4625 | Val Acc: 0.9140
Epoch 020 | Loss: 0.5549 | Task: 0.2051 | KL: 349.7373 | Val Acc: 0.9400
Epoch 021 | Loss: 0.5473 | Task: 0.1992 | KL: 348.0938 | Val Acc: 0.9440
Epoch 022 | Loss: 0.5851 | Task: 0.2075 | KL: 377.5391 | Val Acc: 0.9050
Epoch 023 | Loss: 0.5655 | Task: 0.2040 | KL: 361.5605 | Val Acc: 0.9450
Epoch 024 | Loss: 0.5734 | Task: 0.2044 | KL: 369.0734 | Val Acc: 0.9210
Epoch 025 | Loss: 0.5512 | Task: 0.1962 | KL: 355.0066 | Val Acc: 0.9330
