Device : cuda
SNR    : 5.0 dB
Beta   : 0.01
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 0.9424 | Task: 0.7544 | KL: 18.8020 | Val Acc: 0.8700
Epoch 002 | Loss: 0.6268 | Task: 0.2605 | KL: 36.6316 | Val Acc: 0.9120
Epoch 003 | Loss: 0.5795 | Task: 0.2173 | KL: 36.2193 | Val Acc: 0.9180
Epoch 004 | Loss: 0.5935 | Task: 0.2187 | KL: 37.4797 | Val Acc: 0.9300
Epoch 005 | Loss: 0.5821 | Task: 0.2141 | KL: 36.7940 | Val Acc: 0.9140
Epoch 006 | Loss: 0.5948 | Task: 0.2224 | KL: 37.2412 | Val Acc: 0.9160
Epoch 007 | Loss: 0.5916 | Task: 0.2147 | KL: 37.6919 | Val Acc: 0.9130
Epoch 008 | Loss: 0.5808 | Task: 0.2118 | KL: 36.8965 | Val Acc: 0.9220
Epoch 009 | Loss: 0.5494 | Task: 0.2013 | KL: 34.8149 | Val Acc: 0.9230
Epoch 010 | Loss: 0.5767 | Task: 0.2099 | KL: 36.6745 | Val Acc: 0.9270
Epoch 011 | Loss: 0.5773 | Task: 0.2086 | KL: 36.8635 | Val Acc: 0.9150
Epoch 012 | Loss: 0.5775 | Task: 0.2114 | KL: 36.6111 | Val Acc: 0.9160
Epoch 013 | Loss: 0.5892 | Task: 0.2129 | KL: 37.6361 | Val Acc: 0.9130
Epoch 014 | Loss: 0.5453 | Task: 0.1978 | KL: 34.7538 | Val Acc: 0.9290
Epoch 015 | Loss: 0.5465 | Task: 0.1916 | KL: 35.4924 | Val Acc: 0.9190
Epoch 016 | Loss: 0.5788 | Task: 0.2105 | KL: 36.8333 | Val Acc: 0.9280
Epoch 017 | Loss: 0.5886 | Task: 0.2134 | KL: 37.5157 | Val Acc: 0.9380
Epoch 018 | Loss: 0.5655 | Task: 0.2013 | KL: 36.4226 | Val Acc: 0.9410
Epoch 019 | Loss: 0.5613 | Task: 0.2015 | KL: 35.9836 | Val Acc: 0.9170
Epoch 020 | Loss: 0.5963 | Task: 0.2202 | KL: 37.6110 | Val Acc: 0.9130
Epoch 021 | Loss: 0.5725 | Task: 0.2083 | KL: 36.4227 | Val Acc: 0.9150
Epoch 022 | Loss: 0.5648 | Task: 0.2086 | KL: 35.6240 | Val Acc: 0.9290
Epoch 023 | Loss: 0.5947 | Task: 0.2146 | KL: 38.0120 | Val Acc: 0.9090
Epoch 024 | Loss: 0.5828 | Task: 0.2036 | KL: 37.9144 | Val Acc: 0.9370
Epoch 025 | Loss: 0.5855 | Task: 0.2110 | KL: 37.4510 | Val Acc: 0.9340
Epoch 026 | Loss: 0.5822 | Task: 0.2154 | KL: 36.6772 | Val Acc: 0.9160
Epoch 027 | Loss: 0.5441 | Task: 0.1929 | KL: 35.1167 | Val Acc: 0.9210
Epoch 028 | Loss: 0.5497 | Task: 0.1979 | KL: 35.1753 | Val Acc: 0.9290
Epoch 029 | Loss: 0.5902 | Task: 0.2114 | KL: 37.8890 | Val Acc: 0.9190
Epoch 030 | Loss: 0.5698 | Task: 0.2068 | KL: 36.3065 | Val Acc: 0.9150
Epoch 031 | Loss: 0.5955 | Task: 0.2150 | KL: 38.0427 | Val Acc: 0.9230
Epoch 032 | Loss: 0.5815 | Task: 0.2152 | KL: 36.6267 | Val Acc: 0.9300
Epoch 033 | Loss: 0.5627 | Task: 0.1992 | KL: 36.3429 | Val Acc: 0.9150
Epoch 034 | Loss: 0.5681 | Task: 0.2034 | KL: 36.4694 | Val Acc: 0.9310
Epoch 035 | Loss: 0.5814 | Task: 0.2118 | KL: 36.9571 | Val Acc: 0.9100
Epoch 036 | Loss: 0.5542 | Task: 0.2043 | KL: 34.9960 | Val Acc: 0.9140
Epoch 037 | Loss: 0.5647 | Task: 0.2014 | KL: 36.3356 | Val Acc: 0.9330
Epoch 038 | Loss: 0.5713 | Task: 0.2047 | KL: 36.6650 | Val Acc: 0.9340
Epoch 039 | Loss: 0.5797 | Task: 0.2072 | KL: 37.2558 | Val Acc: 0.9220
Epoch 040 | Loss: 0.5781 | Task: 0.2127 | KL: 36.5397 | Val Acc: 0.9240
Epoch 041 | Loss: 0.5678 | Task: 0.1967 | KL: 37.1086 | Val Acc: 0.9250
Epoch 042 | Loss: 0.5661 | Task: 0.2032 | KL: 36.2846 | Val Acc: 0.9190
Epoch 043 | Loss: 0.5757 | Task: 0.2065 | KL: 36.9219 | Val Acc: 0.9100
Epoch 044 | Loss: 0.5692 | Task: 0.2078 | KL: 36.1429 | Val Acc: 0.9180
Epoch 045 | Loss: 0.5647 | Task: 0.2024 | KL: 36.2272 | Val Acc: 0.9180
Epoch 046 | Loss: 0.5367 | Task: 0.1909 | KL: 34.5786 | Val Acc: 0.9330
Epoch 047 | Loss: 0.5809 | Task: 0.2038 | KL: 37.7080 | Val Acc: 0.9340
Epoch 048 | Loss: 0.5660 | Task: 0.2034 | KL: 36.2638 | Val Acc: 0.9210
Epoch 049 | Loss: 0.5772 | Task: 0.2071 | KL: 37.0098 | Val Acc: 0.9270
Epoch 050 | Loss: 0.5729 | Task: 0.2057 | KL: 36.7206 | Val Acc: 0.9180
Epoch 051 | Loss: 0.5729 | Task: 0.2056 | KL: 36.7310 | Val Acc: 0.9330
Epoch 052 | Loss: 0.5734 | Task: 0.2065 | KL: 36.6885 | Val Acc: 0.9310
Epoch 053 | Loss: 0.5488 | Task: 0.1948 | KL: 35.4011 | Val Acc: 0.9200
Epoch 054 | Loss: 0.5678 | Task: 0.2015 | KL: 36.6277 | Val Acc: 0.9500
Epoch 055 | Loss: 0.5631 | Task: 0.2032 | KL: 35.9874 | Val Acc: 0.9340
Epoch 056 | Loss: 0.5614 | Task: 0.2046 | KL: 35.6861 | Val Acc: 0.9110
Epoch 057 | Loss: 0.5622 | Task: 0.1969 | KL: 36.5254 | Val Acc: 0.9330
Epoch 058 | Loss: 0.5585 | Task: 0.2002 | KL: 35.8282 | Val Acc: 0.9180
Epoch 059 | Loss: 0.5712 | Task: 0.2023 | KL: 36.8929 | Val Acc: 0.9170
Epoch 060 | Loss: 0.5734 | Task: 0.2107 | KL: 36.2770 | Val Acc: 0.9380
Epoch 061 | Loss: 0.5652 | Task: 0.2014 | KL: 36.3829 | Val Acc: 0.9130
Epoch 062 | Loss: 0.5747 | Task: 0.2049 | KL: 36.9837 | Val Acc: 0.9040
Epoch 063 | Loss: 0.5791 | Task: 0.2117 | KL: 36.7307 | Val Acc: 0.9250
Epoch 064 | Loss: 0.5500 | Task: 0.1938 | KL: 35.6209 | Val Acc: 0.9260
Epoch 065 | Loss: 0.5650 | Task: 0.2032 | KL: 36.1799 | Val Acc: 0.9130
Epoch 066 | Loss: 0.5910 | Task: 0.2126 | KL: 37.8388 | Val Acc: 0.9260
Epoch 067 | Loss: 0.5190 | Task: 0.1853 | KL: 33.3668 | Val Acc: 0.9260
Epoch 068 | Loss: 0.5873 | Task: 0.2088 | KL: 37.8483 | Val Acc: 0.9040
Epoch 069 | Loss: 0.5782 | Task: 0.2075 | KL: 37.0686 | Val Acc: 0.9200
Epoch 070 | Loss: 0.5539 | Task: 0.1914 | KL: 36.2462 | Val Acc: 0.9370
Epoch 071 | Loss: 0.5795 | Task: 0.2060 | KL: 37.3470 | Val Acc: 0.9260
Epoch 072 | Loss: 0.5744 | Task: 0.2061 | KL: 36.8311 | Val Acc: 0.9460
Epoch 073 | Loss: 0.5782 | Task: 0.2107 | KL: 36.7511 | Val Acc: 0.9290
Epoch 074 | Loss: 0.5603 | Task: 0.2026 | KL: 35.7628 | Val Acc: 0.9340
Epoch 075 | Loss: 0.5711 | Task: 0.2057 | KL: 36.5423 | Val Acc: 0.9340
Epoch 076 | Loss: 0.5587 | Task: 0.2022 | KL: 35.6473 | Val Acc: 0.9360
Epoch 077 | Loss: 0.5601 | Task: 0.2022 | KL: 35.7994 | Val Acc: 0.9100
Epoch 078 | Loss: 0.5561 | Task: 0.2043 | KL: 35.1736 | Val Acc: 0.9250
Epoch 079 | Loss: 0.5653 | Task: 0.2077 | KL: 35.7623 | Val Acc: 0.9240
Epoch 080 | Loss: 0.5599 | Task: 0.1994 | KL: 36.0535 | Val Acc: 0.9320
Epoch 081 | Loss: 0.5537 | Task: 0.1986 | KL: 35.5109 | Val Acc: 0.9150
Epoch 082 | Loss: 0.5824 | Task: 0.2121 | KL: 37.0302 | Val Acc: 0.9220
Epoch 083 | Loss: 0.5534 | Task: 0.1951 | KL: 35.8328 | Val Acc: 0.9220
Epoch 084 | Loss: 0.5812 | Task: 0.2088 | KL: 37.2385 | Val Acc: 0.9200
Epoch 085 | Loss: 0.5516 | Task: 0.2010 | KL: 35.0554 | Val Acc: 0.9360
Epoch 086 | Loss: 0.5755 | Task: 0.2043 | KL: 37.1124 | Val Acc: 0.9090
Epoch 087 | Loss: 0.5514 | Task: 0.1907 | KL: 36.0635 | Val Acc: 0.9310
Epoch 088 | Loss: 0.5661 | Task: 0.2002 | KL: 36.5889 | Val Acc: 0.9370
Epoch 089 | Loss: 0.5867 | Task: 0.2069 | KL: 37.9801 | Val Acc: 0.9280
Epoch 090 | Loss: 0.5634 | Task: 0.2019 | KL: 36.1422 | Val Acc: 0.9170
Epoch 091 | Loss: 0.5807 | Task: 0.2104 | KL: 37.0320 | Val Acc: 0.9320
Epoch 092 | Loss: 0.5507 | Task: 0.1999 | KL: 35.0812 | Val Acc: 0.9170
Epoch 093 | Loss: 0.5736 | Task: 0.2074 | KL: 36.6180 | Val Acc: 0.9180
Epoch 094 | Loss: 0.5717 | Task: 0.2015 | KL: 37.0121 | Val Acc: 0.9280
Epoch 095 | Loss: 0.5786 | Task: 0.2149 | KL: 36.3685 | Val Acc: 0.9230
Epoch 096 | Loss: 0.5546 | Task: 0.1949 | KL: 35.9713 | Val Acc: 0.9230
Epoch 097 | Loss: 0.5439 | Task: 0.1931 | KL: 35.0877 | Val Acc: 0.9100
Epoch 098 | Loss: 0.5676 | Task: 0.2010 | KL: 36.6623 | Val Acc: 0.9240
Epoch 099 | Loss: 0.6121 | Task: 0.2221 | KL: 39.0000 | Val Acc: 0.9290
Epoch 100 | Loss: 0.5666 | Task: 0.2040 | KL: 36.2585 | Val Acc: 0.9160

Best Val Acc: 0.9500
