Device : cuda
SNR    : 5.0 dB
Beta   : 0.1
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.0573 | Task: 0.8689 | KL: 1.8838 | Val Acc: 0.8700
Epoch 002 | Loss: 0.7176 | Task: 0.3018 | KL: 4.1576 | Val Acc: 0.8930
Epoch 003 | Loss: 0.6890 | Task: 0.2633 | KL: 4.2577 | Val Acc: 0.8840
Epoch 004 | Loss: 0.6683 | Task: 0.2590 | KL: 4.0935 | Val Acc: 0.9010
Epoch 005 | Loss: 0.6877 | Task: 0.2585 | KL: 4.2913 | Val Acc: 0.9020
Epoch 006 | Loss: 0.7003 | Task: 0.2624 | KL: 4.3797 | Val Acc: 0.8980
Epoch 007 | Loss: 0.7016 | Task: 0.2630 | KL: 4.3858 | Val Acc: 0.9060
Epoch 008 | Loss: 0.6974 | Task: 0.2697 | KL: 4.2774 | Val Acc: 0.8990
Epoch 009 | Loss: 0.6725 | Task: 0.2487 | KL: 4.2383 | Val Acc: 0.9230
Epoch 010 | Loss: 0.6731 | Task: 0.2426 | KL: 4.3053 | Val Acc: 0.9100
Epoch 011 | Loss: 0.6803 | Task: 0.2495 | KL: 4.3081 | Val Acc: 0.8900
Epoch 012 | Loss: 0.6846 | Task: 0.2540 | KL: 4.3066 | Val Acc: 0.8780
Epoch 013 | Loss: 0.6868 | Task: 0.2566 | KL: 4.3024 | Val Acc: 0.9210
Epoch 014 | Loss: 0.6739 | Task: 0.2513 | KL: 4.2257 | Val Acc: 0.9060
Epoch 015 | Loss: 0.6674 | Task: 0.2467 | KL: 4.2070 | Val Acc: 0.9120
Epoch 016 | Loss: 0.6718 | Task: 0.2479 | KL: 4.2391 | Val Acc: 0.8880
Epoch 017 | Loss: 0.6570 | Task: 0.2436 | KL: 4.1338 | Val Acc: 0.8950
Epoch 018 | Loss: 0.6740 | Task: 0.2469 | KL: 4.2713 | Val Acc: 0.9240
Epoch 019 | Loss: 0.6671 | Task: 0.2457 | KL: 4.2134 | Val Acc: 0.9150
Epoch 020 | Loss: 0.6528 | Task: 0.2387 | KL: 4.1405 | Val Acc: 0.9060
Epoch 021 | Loss: 0.6644 | Task: 0.2408 | KL: 4.2359 | Val Acc: 0.9200
Epoch 022 | Loss: 0.6741 | Task: 0.2462 | KL: 4.2789 | Val Acc: 0.8980
Epoch 023 | Loss: 0.6547 | Task: 0.2445 | KL: 4.1027 | Val Acc: 0.9210
Epoch 024 | Loss: 0.6954 | Task: 0.2563 | KL: 4.3913 | Val Acc: 0.9080
Epoch 025 | Loss: 0.6685 | Task: 0.2448 | KL: 4.2364 | Val Acc: 0.9190
Epoch 026 | Loss: 0.6708 | Task: 0.2511 | KL: 4.1973 | Val Acc: 0.9110
Epoch 027 | Loss: 0.6721 | Task: 0.2399 | KL: 4.3226 | Val Acc: 0.8910
Epoch 028 | Loss: 0.6929 | Task: 0.2574 | KL: 4.3552 | Val Acc: 0.8900
Epoch 029 | Loss: 0.6608 | Task: 0.2407 | KL: 4.2011 | Val Acc: 0.8960
Epoch 030 | Loss: 0.6788 | Task: 0.2514 | KL: 4.2743 | Val Acc: 0.8990
Epoch 031 | Loss: 0.6702 | Task: 0.2517 | KL: 4.1851 | Val Acc: 0.8990
Epoch 032 | Loss: 0.6628 | Task: 0.2434 | KL: 4.1941 | Val Acc: 0.9010
Epoch 033 | Loss: 0.6721 | Task: 0.2464 | KL: 4.2562 | Val Acc: 0.9200
Epoch 034 | Loss: 0.6814 | Task: 0.2538 | KL: 4.2756 | Val Acc: 0.9020
Epoch 035 | Loss: 0.6734 | Task: 0.2538 | KL: 4.1968 | Val Acc: 0.9130
Epoch 036 | Loss: 0.6780 | Task: 0.2491 | KL: 4.2892 | Val Acc: 0.8800
Epoch 037 | Loss: 0.6680 | Task: 0.2463 | KL: 4.2170 | Val Acc: 0.8820
Epoch 038 | Loss: 0.6815 | Task: 0.2518 | KL: 4.2968 | Val Acc: 0.9060
Epoch 039 | Loss: 0.6713 | Task: 0.2463 | KL: 4.2495 | Val Acc: 0.9060
Epoch 040 | Loss: 0.6708 | Task: 0.2475 | KL: 4.2329 | Val Acc: 0.8980
Epoch 041 | Loss: 0.6563 | Task: 0.2397 | KL: 4.1658 | Val Acc: 0.8970
Epoch 042 | Loss: 0.6836 | Task: 0.2531 | KL: 4.3049 | Val Acc: 0.9210
Epoch 043 | Loss: 0.6739 | Task: 0.2481 | KL: 4.2573 | Val Acc: 0.9120
Epoch 044 | Loss: 0.6807 | Task: 0.2463 | KL: 4.3439 | Val Acc: 0.9160
Epoch 045 | Loss: 0.6799 | Task: 0.2504 | KL: 4.2953 | Val Acc: 0.9050
Epoch 046 | Loss: 0.6740 | Task: 0.2499 | KL: 4.2405 | Val Acc: 0.9060
Epoch 047 | Loss: 0.6800 | Task: 0.2498 | KL: 4.3016 | Val Acc: 0.8990
Epoch 048 | Loss: 0.6628 | Task: 0.2464 | KL: 4.1645 | Val Acc: 0.9190
Epoch 049 | Loss: 0.6690 | Task: 0.2462 | KL: 4.2282 | Val Acc: 0.9020
Epoch 050 | Loss: 0.6743 | Task: 0.2465 | KL: 4.2783 | Val Acc: 0.9100
Epoch 051 | Loss: 0.6658 | Task: 0.2430 | KL: 4.2276 | Val Acc: 0.9090
Epoch 052 | Loss: 0.6582 | Task: 0.2419 | KL: 4.1625 | Val Acc: 0.9090
Epoch 053 | Loss: 0.6595 | Task: 0.2456 | KL: 4.1384 | Val Acc: 0.9050
Epoch 054 | Loss: 0.6650 | Task: 0.2451 | KL: 4.1990 | Val Acc: 0.9010
Epoch 055 | Loss: 0.6825 | Task: 0.2470 | KL: 4.3553 | Val Acc: 0.8950
Epoch 056 | Loss: 0.6703 | Task: 0.2469 | KL: 4.2336 | Val Acc: 0.9060
Epoch 057 | Loss: 0.6711 | Task: 0.2393 | KL: 4.3185 | Val Acc: 0.9100
Epoch 058 | Loss: 0.6899 | Task: 0.2546 | KL: 4.3527 | Val Acc: 0.9000
Epoch 059 | Loss: 0.6816 | Task: 0.2530 | KL: 4.2856 | Val Acc: 0.9160
Epoch 060 | Loss: 0.6628 | Task: 0.2464 | KL: 4.1634 | Val Acc: 0.9060
Epoch 061 | Loss: 0.6511 | Task: 0.2385 | KL: 4.1260 | Val Acc: 0.9080
Epoch 062 | Loss: 0.6786 | Task: 0.2480 | KL: 4.3057 | Val Acc: 0.9120
Epoch 063 | Loss: 0.6564 | Task: 0.2369 | KL: 4.1952 | Val Acc: 0.9140
Epoch 064 | Loss: 0.6604 | Task: 0.2378 | KL: 4.2261 | Val Acc: 0.9060
