Device : cuda
SNR    : 5.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.3012 | Task: 1.1947 | KL: 0.2131 | Val Acc: 0.7300
Epoch 002 | Loss: 1.0437 | Task: 0.5906 | KL: 0.9061 | Val Acc: 0.8180
Epoch 003 | Loss: 1.0423 | Task: 0.4927 | KL: 1.0991 | Val Acc: 0.8100
Epoch 004 | Loss: 1.0113 | Task: 0.4601 | KL: 1.1025 | Val Acc: 0.8380
Epoch 005 | Loss: 1.0291 | Task: 0.4650 | KL: 1.1282 | Val Acc: 0.8020
Epoch 006 | Loss: 1.0130 | Task: 0.4620 | KL: 1.1020 | Val Acc: 0.8250
Epoch 007 | Loss: 1.0310 | Task: 0.4563 | KL: 1.1493 | Val Acc: 0.8270
Epoch 008 | Loss: 1.0153 | Task: 0.4620 | KL: 1.1067 | Val Acc: 0.8370
Epoch 009 | Loss: 1.0056 | Task: 0.4490 | KL: 1.1131 | Val Acc: 0.8370
Epoch 010 | Loss: 1.0245 | Task: 0.4533 | KL: 1.1424 | Val Acc: 0.8290
Epoch 011 | Loss: 1.0265 | Task: 0.4631 | KL: 1.1269 | Val Acc: 0.8340
Epoch 012 | Loss: 1.0095 | Task: 0.4496 | KL: 1.1198 | Val Acc: 0.8170
Epoch 013 | Loss: 1.0220 | Task: 0.4597 | KL: 1.1246 | Val Acc: 0.8250
Epoch 014 | Loss: 1.0309 | Task: 0.4670 | KL: 1.1279 | Val Acc: 0.8270
Epoch 015 | Loss: 1.0188 | Task: 0.4534 | KL: 1.1309 | Val Acc: 0.8400
Epoch 016 | Loss: 1.0084 | Task: 0.4417 | KL: 1.1334 | Val Acc: 0.8380
Epoch 017 | Loss: 1.0190 | Task: 0.4653 | KL: 1.1073 | Val Acc: 0.7650
Epoch 018 | Loss: 1.0109 | Task: 0.4545 | KL: 1.1127 | Val Acc: 0.8290
Epoch 019 | Loss: 1.0138 | Task: 0.4552 | KL: 1.1173 | Val Acc: 0.7960
Epoch 020 | Loss: 1.0144 | Task: 0.4469 | KL: 1.1350 | Val Acc: 0.8230
Epoch 021 | Loss: 1.0112 | Task: 0.4535 | KL: 1.1154 | Val Acc: 0.8230
Epoch 022 | Loss: 1.0220 | Task: 0.4566 | KL: 1.1307 | Val Acc: 0.8510
Epoch 023 | Loss: 0.9985 | Task: 0.4453 | KL: 1.1064 | Val Acc: 0.8110
Epoch 024 | Loss: 1.0199 | Task: 0.4515 | KL: 1.1368 | Val Acc: 0.7970
Epoch 025 | Loss: 1.0263 | Task: 0.4483 | KL: 1.1561 | Val Acc: 0.8320
Epoch 026 | Loss: 1.0146 | Task: 0.4493 | KL: 1.1307 | Val Acc: 0.8280
Epoch 027 | Loss: 1.0196 | Task: 0.4549 | KL: 1.1292 | Val Acc: 0.8390
Epoch 028 | Loss: 1.0057 | Task: 0.4473 | KL: 1.1169 | Val Acc: 0.7900
Epoch 029 | Loss: 1.0109 | Task: 0.4477 | KL: 1.1264 | Val Acc: 0.8150
Epoch 030 | Loss: 0.9984 | Task: 0.4395 | KL: 1.1178 | Val Acc: 0.8300
Epoch 031 | Loss: 1.0129 | Task: 0.4442 | KL: 1.1374 | Val Acc: 0.8320
Epoch 032 | Loss: 1.0257 | Task: 0.4662 | KL: 1.1191 | Val Acc: 0.8390
Epoch 033 | Loss: 1.0106 | Task: 0.4456 | KL: 1.1300 | Val Acc: 0.8340
Epoch 034 | Loss: 1.0086 | Task: 0.4402 | KL: 1.1368 | Val Acc: 0.8070
