Device : cuda
SNR    : 5.0 dB
Beta   : 1.0
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.3805 | Task: 1.3749 | KL: 0.0056 | Val Acc: 0.3340
Epoch 002 | Loss: 1.3602 | Task: 1.3056 | KL: 0.0546 | Val Acc: 0.4220
Epoch 003 | Loss: 1.3103 | Task: 1.0368 | KL: 0.2735 | Val Acc: 0.7000
Epoch 004 | Loss: 1.2848 | Task: 0.8401 | KL: 0.4447 | Val Acc: 0.6490
Epoch 005 | Loss: 1.2700 | Task: 0.7812 | KL: 0.4888 | Val Acc: 0.6940
Epoch 006 | Loss: 1.2908 | Task: 0.7768 | KL: 0.5141 | Val Acc: 0.6960
Epoch 007 | Loss: 1.2875 | Task: 0.7712 | KL: 0.5163 | Val Acc: 0.6760
Epoch 008 | Loss: 1.2745 | Task: 0.7707 | KL: 0.5038 | Val Acc: 0.6760
Epoch 009 | Loss: 1.2679 | Task: 0.7734 | KL: 0.4945 | Val Acc: 0.6960
Epoch 010 | Loss: 1.2785 | Task: 0.7804 | KL: 0.4981 | Val Acc: 0.7120
Epoch 011 | Loss: 1.2765 | Task: 0.7669 | KL: 0.5096 | Val Acc: 0.6810
Epoch 012 | Loss: 1.2772 | Task: 0.7683 | KL: 0.5089 | Val Acc: 0.6940
Epoch 013 | Loss: 1.2701 | Task: 0.7588 | KL: 0.5113 | Val Acc: 0.7120
Epoch 014 | Loss: 1.2773 | Task: 0.7712 | KL: 0.5061 | Val Acc: 0.6570
Epoch 015 | Loss: 1.2769 | Task: 0.7688 | KL: 0.5081 | Val Acc: 0.6660
Epoch 016 | Loss: 1.2914 | Task: 0.7757 | KL: 0.5156 | Val Acc: 0.6790
Epoch 017 | Loss: 1.2766 | Task: 0.7766 | KL: 0.5000 | Val Acc: 0.6670
Epoch 018 | Loss: 1.2776 | Task: 0.7761 | KL: 0.5016 | Val Acc: 0.6690
Epoch 019 | Loss: 1.2897 | Task: 0.7833 | KL: 0.5064 | Val Acc: 0.6750
Epoch 020 | Loss: 1.2671 | Task: 0.7691 | KL: 0.4980 | Val Acc: 0.7060
Epoch 021 | Loss: 1.2698 | Task: 0.7612 | KL: 0.5086 | Val Acc: 0.6850
Epoch 022 | Loss: 1.2805 | Task: 0.7584 | KL: 0.5222 | Val Acc: 0.7120
Epoch 023 | Loss: 1.2884 | Task: 0.7611 | KL: 0.5273 | Val Acc: 0.6960
Epoch 024 | Loss: 1.2670 | Task: 0.7562 | KL: 0.5107 | Val Acc: 0.6930
Epoch 025 | Loss: 1.2751 | Task: 0.7617 | KL: 0.5135 | Val Acc: 0.6800
Epoch 026 | Loss: 1.2768 | Task: 0.7612 | KL: 0.5156 | Val Acc: 0.7110
Epoch 027 | Loss: 1.2740 | Task: 0.7583 | KL: 0.5156 | Val Acc: 0.6930
Epoch 028 | Loss: 1.2882 | Task: 0.7726 | KL: 0.5156 | Val Acc: 0.6680
Epoch 029 | Loss: 1.2743 | Task: 0.7650 | KL: 0.5093 | Val Acc: 0.7180
Epoch 030 | Loss: 1.2714 | Task: 0.7528 | KL: 0.5186 | Val Acc: 0.6890
Epoch 031 | Loss: 1.2872 | Task: 0.7629 | KL: 0.5243 | Val Acc: 0.6860
Epoch 032 | Loss: 1.2702 | Task: 0.7660 | KL: 0.5041 | Val Acc: 0.6900
Epoch 033 | Loss: 1.2577 | Task: 0.7439 | KL: 0.5138 | Val Acc: 0.7080
Epoch 034 | Loss: 1.2784 | Task: 0.7630 | KL: 0.5154 | Val Acc: 0.7130
Epoch 035 | Loss: 1.2843 | Task: 0.7727 | KL: 0.5116 | Val Acc: 0.7230
Epoch 036 | Loss: 1.2707 | Task: 0.7671 | KL: 0.5036 | Val Acc: 0.6760
Epoch 037 | Loss: 1.2808 | Task: 0.7734 | KL: 0.5075 | Val Acc: 0.6660
Epoch 038 | Loss: 1.2667 | Task: 0.7695 | KL: 0.4973 | Val Acc: 0.7200
Epoch 039 | Loss: 1.2542 | Task: 0.7583 | KL: 0.4958 | Val Acc: 0.6710
