Device : cuda
SNR    : 10.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.3083 | Task: 1.2238 | KL: 0.1691 | Val Acc: 0.7350
Epoch 002 | Loss: 0.8194 | Task: 0.3758 | KL: 0.8871 | Val Acc: 0.9150
Epoch 003 | Loss: 0.7177 | Task: 0.2244 | KL: 0.9865 | Val Acc: 0.9440
Epoch 004 | Loss: 0.7106 | Task: 0.2016 | KL: 1.0180 | Val Acc: 0.8980
Epoch 005 | Loss: 0.6852 | Task: 0.1884 | KL: 0.9937 | Val Acc: 0.9570
Epoch 006 | Loss: 0.6849 | Task: 0.1847 | KL: 1.0005 | Val Acc: 0.9250
Epoch 007 | Loss: 0.6951 | Task: 0.1826 | KL: 1.0249 | Val Acc: 0.9370
Epoch 008 | Loss: 0.6863 | Task: 0.1849 | KL: 1.0028 | Val Acc: 0.9150
Epoch 009 | Loss: 0.6860 | Task: 0.1736 | KL: 1.0248 | Val Acc: 0.9330
Epoch 010 | Loss: 0.6875 | Task: 0.1761 | KL: 1.0229 | Val Acc: 0.9320
Epoch 011 | Loss: 0.6824 | Task: 0.1720 | KL: 1.0208 | Val Acc: 0.9520
Epoch 012 | Loss: 0.6848 | Task: 0.1735 | KL: 1.0227 | Val Acc: 0.9460
Epoch 013 | Loss: 0.6764 | Task: 0.1745 | KL: 1.0040 | Val Acc: 0.9050
Epoch 014 | Loss: 0.6743 | Task: 0.1688 | KL: 1.0110 | Val Acc: 0.9480
Epoch 015 | Loss: 0.6745 | Task: 0.1716 | KL: 1.0058 | Val Acc: 0.9230
Epoch 016 | Loss: 0.6706 | Task: 0.1694 | KL: 1.0024 | Val Acc: 0.9530
Epoch 017 | Loss: 0.6796 | Task: 0.1723 | KL: 1.0146 | Val Acc: 0.9450
Epoch 018 | Loss: 0.6843 | Task: 0.1819 | KL: 1.0047 | Val Acc: 0.9680
Epoch 019 | Loss: 0.6773 | Task: 0.1746 | KL: 1.0053 | Val Acc: 0.9220
Epoch 020 | Loss: 0.6879 | Task: 0.1793 | KL: 1.0172 | Val Acc: 0.9270
Epoch 021 | Loss: 0.6811 | Task: 0.1740 | KL: 1.0142 | Val Acc: 0.9110
Epoch 022 | Loss: 0.6760 | Task: 0.1704 | KL: 1.0112 | Val Acc: 0.9440
Epoch 023 | Loss: 0.6787 | Task: 0.1673 | KL: 1.0228 | Val Acc: 0.9420
Epoch 024 | Loss: 0.6745 | Task: 0.1714 | KL: 1.0063 | Val Acc: 0.9410
Epoch 025 | Loss: 0.6788 | Task: 0.1700 | KL: 1.0177 | Val Acc: 0.9270
Epoch 026 | Loss: 0.6818 | Task: 0.1733 | KL: 1.0170 | Val Acc: 0.9350
Epoch 027 | Loss: 0.6826 | Task: 0.1780 | KL: 1.0092 | Val Acc: 0.9560
Epoch 028 | Loss: 0.6818 | Task: 0.1723 | KL: 1.0189 | Val Acc: 0.9480
Epoch 029 | Loss: 0.6749 | Task: 0.1684 | KL: 1.0129 | Val Acc: 0.9550
Epoch 030 | Loss: 0.6649 | Task: 0.1650 | KL: 0.9998 | Val Acc: 0.9380
Epoch 031 | Loss: 0.6825 | Task: 0.1721 | KL: 1.0209 | Val Acc: 0.9250
Epoch 032 | Loss: 0.6768 | Task: 0.1711 | KL: 1.0114 | Val Acc: 0.9400
Epoch 033 | Loss: 0.6754 | Task: 0.1682 | KL: 1.0143 | Val Acc: 0.9260
Epoch 034 | Loss: 0.6791 | Task: 0.1668 | KL: 1.0246 | Val Acc: 0.9440
Epoch 035 | Loss: 0.6853 | Task: 0.1748 | KL: 1.0211 | Val Acc: 0.9330
Epoch 036 | Loss: 0.6815 | Task: 0.1788 | KL: 1.0054 | Val Acc: 0.9400
Epoch 037 | Loss: 0.6809 | Task: 0.1713 | KL: 1.0193 | Val Acc: 0.9340
Epoch 038 | Loss: 0.6830 | Task: 0.1708 | KL: 1.0243 | Val Acc: 0.9420
Epoch 039 | Loss: 0.6825 | Task: 0.1735 | KL: 1.0179 | Val Acc: 0.9420
Epoch 040 | Loss: 0.6735 | Task: 0.1692 | KL: 1.0086 | Val Acc: 0.9320
Epoch 041 | Loss: 0.6715 | Task: 0.1662 | KL: 1.0107 | Val Acc: 0.9320
Epoch 042 | Loss: 0.6573 | Task: 0.1578 | KL: 0.9989 | Val Acc: 0.9310
Epoch 043 | Loss: 0.6752 | Task: 0.1679 | KL: 1.0146 | Val Acc: 0.9490
Epoch 044 | Loss: 0.6773 | Task: 0.1718 | KL: 1.0109 | Val Acc: 0.9140
Epoch 045 | Loss: 0.6768 | Task: 0.1683 | KL: 1.0169 | Val Acc: 0.9530
