Device : cuda
SNR    : 10.0 dB
Beta   : 0.5
Bottleneck dim: 2
Train batches: 125 | Val batches: 16
                                                                                                                                                                                                                                                        
Epoch 001 | Loss: 1.2403 | Task: 1.1001 | KL: 0.2805 | Val Acc: 0.7540
Epoch 002 | Loss: 0.8049 | Task: 0.3595 | KL: 0.8908 | Val Acc: 0.9090
Epoch 003 | Loss: 0.7163 | Task: 0.2261 | KL: 0.9802 | Val Acc: 0.9010
Epoch 004 | Loss: 0.6995 | Task: 0.2065 | KL: 0.9861 | Val Acc: 0.9410
Epoch 005 | Loss: 0.6818 | Task: 0.1898 | KL: 0.9840 | Val Acc: 0.9370
Epoch 006 | Loss: 0.6859 | Task: 0.1821 | KL: 1.0077 | Val Acc: 0.9530
Epoch 007 | Loss: 0.6991 | Task: 0.1831 | KL: 1.0320 | Val Acc: 0.9160
Epoch 008 | Loss: 0.6826 | Task: 0.1790 | KL: 1.0072 | Val Acc: 0.9450
Epoch 009 | Loss: 0.6885 | Task: 0.1784 | KL: 1.0203 | Val Acc: 0.9450
Epoch 010 | Loss: 0.6792 | Task: 0.1783 | KL: 1.0019 | Val Acc: 0.9490
Epoch 011 | Loss: 0.6798 | Task: 0.1716 | KL: 1.0165 | Val Acc: 0.9470
Epoch 012 | Loss: 0.6954 | Task: 0.1805 | KL: 1.0299 | Val Acc: 0.9480
Epoch 013 | Loss: 0.6797 | Task: 0.1738 | KL: 1.0119 | Val Acc: 0.9530
Epoch 014 | Loss: 0.6796 | Task: 0.1783 | KL: 1.0026 | Val Acc: 0.9470
Epoch 015 | Loss: 0.6838 | Task: 0.1718 | KL: 1.0240 | Val Acc: 0.9230
Epoch 016 | Loss: 0.6860 | Task: 0.1792 | KL: 1.0136 | Val Acc: 0.9320
Epoch 017 | Loss: 0.6777 | Task: 0.1751 | KL: 1.0052 | Val Acc: 0.9500
Epoch 018 | Loss: 0.6830 | Task: 0.1730 | KL: 1.0200 | Val Acc: 0.9520
Epoch 019 | Loss: 0.6861 | Task: 0.1769 | KL: 1.0184 | Val Acc: 0.9350
Epoch 020 | Loss: 0.6827 | Task: 0.1768 | KL: 1.0117 | Val Acc: 0.9610
Epoch 021 | Loss: 0.6822 | Task: 0.1705 | KL: 1.0234 | Val Acc: 0.9120
Epoch 022 | Loss: 0.6789 | Task: 0.1796 | KL: 0.9986 | Val Acc: 0.9490
Epoch 023 | Loss: 0.6897 | Task: 0.1726 | KL: 1.0342 | Val Acc: 0.9380
Epoch 024 | Loss: 0.6717 | Task: 0.1698 | KL: 1.0038 | Val Acc: 0.9490
Epoch 025 | Loss: 0.6748 | Task: 0.1724 | KL: 1.0048 | Val Acc: 0.9380
Epoch 026 | Loss: 0.6815 | Task: 0.1718 | KL: 1.0194 | Val Acc: 0.9520
Epoch 027 | Loss: 0.6710 | Task: 0.1691 | KL: 1.0037 | Val Acc: 0.9550
Epoch 028 | Loss: 0.6710 | Task: 0.1672 | KL: 1.0077 | Val Acc: 0.9450
Epoch 029 | Loss: 0.6820 | Task: 0.1729 | KL: 1.0183 | Val Acc: 0.9580
Epoch 030 | Loss: 0.6784 | Task: 0.1749 | KL: 1.0071 | Val Acc: 0.9080
Epoch 031 | Loss: 0.6842 | Task: 0.1742 | KL: 1.0200 | Val Acc: 0.9200
Epoch 032 | Loss: 0.6731 | Task: 0.1716 | KL: 1.0031 | Val Acc: 0.9500
Epoch 033 | Loss: 0.6783 | Task: 0.1685 | KL: 1.0197 | Val Acc: 0.9350
Epoch 034 | Loss: 0.6797 | Task: 0.1699 | KL: 1.0195 | Val Acc: 0.9420
Epoch 035 | Loss: 0.6733 | Task: 0.1701 | KL: 1.0063 | Val Acc: 0.9540
Epoch 036 | Loss: 0.6734 | Task: 0.1741 | KL: 0.9986 | Val Acc: 0.9320
Epoch 037 | Loss: 0.6707 | Task: 0.1712 | KL: 0.9990 | Val Acc: 0.9480
Epoch 038 | Loss: 0.6775 | Task: 0.1676 | KL: 1.0199 | Val Acc: 0.9380
Epoch 039 | Loss: 0.6784 | Task: 0.1721 | KL: 1.0125 | Val Acc: 0.9330
Epoch 040 | Loss: 0.6646 | Task: 0.1661 | KL: 0.9969 | Val Acc: 0.9250
Epoch 041 | Loss: 0.6816 | Task: 0.1749 | KL: 1.0135 | Val Acc: 0.9370
Epoch 042 | Loss: 0.6744 | Task: 0.1713 | KL: 1.0061 | Val Acc: 0.9320
Epoch 043 | Loss: 0.6828 | Task: 0.1756 | KL: 1.0144 | Val Acc: 0.9340
Epoch 044 | Loss: 0.6747 | Task: 0.1728 | KL: 1.0038 | Val Acc: 0.9510
Epoch 045 | Loss: 0.6770 | Task: 0.1751 | KL: 1.0038 | Val Acc: 0.9540
Epoch 046 | Loss: 0.6805 | Task: 0.1685 | KL: 1.0240 | Val Acc: 0.9340
Epoch 047 | Loss: 0.6809 | Task: 0.1712 | KL: 1.0193 | Val Acc: 0.9210
Epoch 048 | Loss: 0.6796 | Task: 0.1659 | KL: 1.0274 | Val Acc: 0.9220
Epoch 049 | Loss: 0.6783 | Task: 0.1732 | KL: 1.0101 | Val Acc: 0.9320
Epoch 050 | Loss: 0.6828 | Task: 0.1715 | KL: 1.0226 | Val Acc: 0.9330
Epoch 051 | Loss: 0.6742 | Task: 0.1686 | KL: 1.0111 | Val Acc: 0.9350
Epoch 052 | Loss: 0.6690 | Task: 0.1656 | KL: 1.0067 | Val Acc: 0.9340
Epoch 053 | Loss: 0.6703 | Task: 0.1694 | KL: 1.0018 | Val Acc: 0.9530
Epoch 054 | Loss: 0.6777 | Task: 0.1683 | KL: 1.0188 | Val Acc: 0.9480
Epoch 055 | Loss: 0.6849 | Task: 0.1706 | KL: 1.0286 | Val Acc: 0.9330
Epoch 056 | Loss: 0.6747 | Task: 0.1676 | KL: 1.0143 | Val Acc: 0.9220
Epoch 057 | Loss: 0.6693 | Task: 0.1688 | KL: 1.0010 | Val Acc: 0.9620
Epoch 058 | Loss: 0.6753 | Task: 0.1718 | KL: 1.0069 | Val Acc: 0.9170
